티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
EWZ,EWZ,-0.75,-11.729019211324577,0.4267185356898975,<0,<0%,EWZ
TUR,TUR,-2.0,-2.7846229669788003,0.4257760093323184,<0,<0%,TUR
HYG,HYG,-0.75,-0.39905225090409724,0.42246580039920806,<0,<0%,HYG
XLC,XLC,-2.75,-3.1631666813109693,0.37488459954788805,<0,<0%,XLC
EWW,EWW,-3.75,-3.3876880293262412,0.3718543833456073,<0,<0%,EWW
EWA,EWA,-3.25,-4.031165311653117,0.36936933461404786,<0,<0%,EWA
EPHE,EPHE,-5.5,-2.683780630105026,0.3627370798546836,<0,<0%,EPHE
TLT,TLT,-4.0,-1.6912103083294938,0.35581447878077055,<0,<0%,TLT
449450,방산주,-0.75,-22.551948051948056,0.33264140434264755,<0,<0%,방산주(449450)
IBIT,IBIT,-5.25,-10.638297872340441,0.3098578240243955,<0,<0%,IBIT
EWM,EWM,-6.25,-5.613305613305619,0.2980468827798577,<0,<0%,EWM
GMOM,GMOM,-5.75,-2.4988627913501316,0.296967324391974,<0,<0%,GMOM
ETHA,ETHA,-4.75,-18.959330143540665,0.2951615337281814,<0,<0%,ETHA
411060,금현물,-3.0,-12.501955875449855,0.27639780226609956,<0,<0%,금현물(411060)
371160,항셈테,-4.25,-4.97481108312342,0.2642844680651755,<0,<0%,항셈테(371160)
102970,증권주,-1.5,-18.72302158273381,0.2553123972026966,<0,<0%,증권주(102970)
EZA,EZA,-7.25,-11.246910189508375,0.23771480543311416,<0,<0%,EZA
LIT,LIT,-4.5,-0.7039499413374894,0.23685523348667598,<0,<0%,LIT
GUNR,GUNR,-6.0,-10.245828099766719,0.22988036057424607,<0,<0%,GUNR
091180,자동차,-0.75,-0.8574150523975921,0.22083760922884543,<0,<0%,자동차(091180)
KSA,KSA,-9.5,-5.6890012642225045,0.21919142578269843,<0,<0%,KSA
GLD,GLD,-6.75,-12.05900628265022,0.2102018654297884,<0,<0%,GLD
PDBC,PDBC,-7.0,-5.349794238683126,0.20210764780251617,<0,<0%,PDBC
EWH,EWH,-9.75,-10.68573832562053,0.18753122194701466,<0,<0%,EWH
FXI,FXI,-8.5,-10.618982118294362,0.17540860118418375,<0,<0%,FXI
434730,원자력,-5.5,-14.616416119697927,0.16681301484494004,<0,<0%,원자력(434730)
EIDO,EIDO,-11.0,-25.676526117054756,0.16562650336144316,<0,<0%,EIDO
COPX,COPX,-5.0,-4.327684993295133,0.16327291970642738,<0,<0%,COPX
117700,건설주,-5.5,-28.307174887892373,0.15929632978985922,<0,<0%,건설주(117700)
0051G0,에셈알,-12.0,-6.540284360189574,0.1501896624697417,<0,<0%,0051G0
