티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
EWM,EWM,-0.25,-2.6872584302926605,0.6043368684661006,<0,<0%,EWM
INDA,INDA,-2.5,-0.08093302774586641,0.5386942811897615,<0,<0%,INDA
ARKF,ARKF,-3.0,-0.7281534745271268,0.5054815165515631,<0,<0%,ARKF
IBIT,IBIT,-1.25,-16.574331384479745,0.47277211381558987,<0,<0%,IBIT
SRVR,SRVR,-0.25,-11.958324133758236,0.4588876004013445,<0,<0%,SRVR
EIDO,EIDO,-1.75,-17.838952866415468,0.4473132468084876,<0,<0%,EIDO
TLT,TLT,-7.0,-0.49388499309860334,0.4312208836555353,<0,<0%,TLT
GLD,GLD,-3.25,-12.814522984383714,0.42639511980409184,<0,<0%,GLD
XLC,XLC,-7.75,-5.625866374676702,0.42324336982635236,<0,<0%,XLC
TUR,TUR,-4.5,-7.633780442031424,0.42185692326377383,<0,<0%,TUR
KSA,KSA,-5.75,-4.1837518637045985,0.4204971609354014,<0,<0%,KSA
371160,항셈테,-6.0,-2.9671717171717127,0.40752253916505143,<0,<0%,항셈테(371160)
VWO,VWO,-5.75,-1.9028947087351922,0.4060082422390173,<0,<0%,VWO
EIS,EIS,-6.25,-8.634377176858777,0.39148313982202093,<0,<0%,EIS
QMOM,QMOM,-4.25,-5.2936169468124845,0.3908015421160144,<0,<0%,QMOM
EMGF,EMGF,-4.5,-2.1346657461167373,0.38137336317991044,<0,<0%,EMGF
XME,XME,-5.0,-14.504004105059687,0.35615775603273864,<0,<0%,XME
PDP,PDP,-3.75,-4.39367318927022,0.34689309366108756,<0,<0%,PDP
SLV,SLV,-5.5,-22.442247340699485,0.32795250348021404,<0,<0%,SLV
XLY,XLY,-11.5,-4.770474425607151,0.3129366486909716,<0,<0%,XLY
EZA,EZA,-10.25,-7.155873499139432,0.30796249238357787,<0,<0%,EZA
CARZ,CARZ,-6.5,-3.305143807816102,0.29990330091475165,<0,<0%,CARZ
325020,케모멘,-6.5,-5.78249336870027,0.29634233356569295,<0,<0%,케모멘(325020)
GRID,GRID,-8.75,-9.316766599061099,0.2917861282628112,<0,<0%,GRID
453810,인디아,-11.0,-3.713838936669278,0.2798747886966528,<0,<0%,인디아(453810)
UNG,UNG,-7.0,-7.547171339100844,0.2654396165819371,<0,<0%,UNG
241180,니케이,-6.5,-1.3834586466165422,0.2645799410533843,<0,<0%,니케이(241180)
411060,금현물,-10.25,-14.368482039397446,0.26137800914319825,<0,<0%,금현물(411060)
EWY,EWY,-4.25,-5.7912402816099,0.24739782272465066,<0,<0%,EWY
ARKK,ARKK,-11.0,-4.469936119913487,0.24499264783282512,<0,<0%,ARKK
BOTZ,BOTZ,-11.25,-11.581296313556766,0.240450599808644,<0,<0%,BOTZ
475050,K팝,-6.25,-33.673469387755105,0.22485874402176312,<0,<0%,K팝(475050)
VNM,VNM,-11.5,-11.995754833215322,0.22476481087898662,<0,<0%,VNM
117680,철강주,-4.5,-45.46718576195773,0.21682518887780516,<0,<0%,철강주(117680)
URA,URA,-8.25,-30.964193500491277,0.21414391592336546,<0,<0%,URA
ICLN,ICLN,-9.75,-16.96598431371177,0.21164827362419447,<0,<0%,ICLN
LIT,LIT,-9.5,-23.789844435984932,0.20512283828102937,<0,<0%,LIT
117460,에너지,-6.75,-40.46257796257796,0.1954776206747526,<0,<0%,에너지(117460)
117700,건설주,-3.75,-46.38802889576883,0.18196172645393285,<0,<0%,건설주(117700)
0051G0,에셈알,-9.5,-24.581497797356832,0.17303586153286965,<0,<0%,0051G0
495050,밸류업,-6.5,-7.921122994652407,0.16821490534687933,<0,<0%,밸류업(495050)
TAN,TAN,-12.0,-15.93905392503352,0.16587175269801605,<0,<0%,TAN
091180,자동차,-12.0,-21.926260346124906,0.14599999611132933,<0,<0%,자동차(091180)
069500,코스피,-7.0,-11.321688356672766,0.13950507612959315,<0,<0%,코스피(069500)
PTF,PTF,-6.5,-18.132858438914955,0.13857021946322104,<0,<0%,PTF
0038A0,미로봇,-12.0,-13.867758923346985,0.13541675026820843,<0,<0%,0038A0
487230,전력인,-8.75,-19.53252032520325,0.13230093035259685,<0,<0%,전력인(487230)
0048K0,중로봇,-11.25,-14.864197530864198,0.13198754422291187,<0,<0%,0048K0
