티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
EIDO,EIDO,-0.25,-16.20978368842043,0.5474549051134192,<0,<0%,EIDO
KSA,KSA,-3.5,-0.7161760204508316,0.5368558498661299,<0,<0%,KSA
DBA,DBA,-0.5,-1.7997119400502526,0.5228540002144314,<0,<0%,DBA
PICK,PICK,-0.75,-9.104996447333447,0.5226626926395985,<0,<0%,PICK
HYG,HYG,-1.5,-0.16222024240292177,0.5086309563564234,<0,<0%,HYG
EZA,EZA,-1.25,-9.51191507428053,0.5066074087218551,<0,<0%,EZA
COPX,COPX,-0.75,-6.699931022416338,0.5037062829867778,<0,<0%,COPX
XLC,XLC,-4.25,-5.036930165640818,0.48630633981100946,<0,<0%,XLC
ETHA,ETHA,-1.0,-21.444691785042657,0.47855902302184644,<0,<0%,ETHA
PAVE,PAVE,-4.5,-2.9320482122131675,0.4525913795624773,<0,<0%,PAVE
QQQ,QQQ,-2.5,-0.8555647141621936,0.435817521450419,<0,<0%,QQQ
GRID,GRID,-4.0,-9.376420084198767,0.41974221770098846,<0,<0%,GRID
VNM,VNM,-3.75,-10.852100640845686,0.4195869436718477,<0,<0%,VNM
EMGF,EMGF,-2.5,-5.2498630110725415,0.40574329775108375,<0,<0%,EMGF
371160,항셈테,-5.75,-3.9797852179406235,0.40464655991241855,<0,<0%,항셈테(371160)
SRVR,SRVR,-5.0,-14.06651856997515,0.39047847464830476,<0,<0%,SRVR
BOTZ,BOTZ,-4.75,-11.415094366708178,0.36719055408857654,<0,<0%,BOTZ
GLD,GLD,-5.25,-14.1764902617582,0.35896687223693774,<0,<0%,GLD
XLU,XLU,-8.75,-2.719002352734079,0.35218003675184967,<0,<0%,XLU
CARZ,CARZ,-6.75,-3.6233287843483786,0.35108348408299617,<0,<0%,CARZ
IBIT,IBIT,-5.0,-23.040053661783265,0.3502763379093532,<0,<0%,IBIT
ARKF,ARKF,-6.5,-5.945171681932903,0.3501625735517897,<0,<0%,ARKF
