티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
PDBC,PDBC,-2.5,-8.778423378143419,0.40816994767671705,<0,<0%,PDBC
VNM,VNM,-0.5,-10.241892639538797,0.38647355792092447,<0,<0%,VNM
TUR,TUR,-3.25,-8.54240356017364,0.38296074444244116,<0,<0%,TUR
325020,케모멘,-1.0,-4.859293193717273,0.3723910331620869,<0,<0%,케모멘(325020)
EWZ,EWZ,-2.75,-6.703884397103488,0.3698150072966809,<0,<0%,EWZ
411060,금현물,-3.25,-11.938134364427256,0.3638831246425802,<0,<0%,금현물(411060)
453810,인디아,-3.0,-0.6055712555510739,0.34580850665237667,<0,<0%,인디아(453810)
ICLN,ICLN,-1.75,-14.176254053036729,0.3217014087719718,<0,<0%,ICLN
TLT,TLT,-5.75,-1.484509368740905,0.31787872266781847,<0,<0%,TLT
091180,자동차,-2.75,-19.956140350877195,0.31115131288906855,<0,<0%,자동차(091180)
0051G0,에셈알,-2.5,-21.049596309111884,0.2988540727904953,<0,<0%,0051G0
REMX,REMX,-1.25,-28.686474325600496,0.28966440327686843,<0,<0%,REMX
TAN,TAN,-3.75,-14.436336262121486,0.2873502991285911,<0,<0%,TAN
147970,티모멘,-1.25,-18.348144276006273,0.2869256985474009,<0,<0%,티모멘(147970)
475050,K팝,-2.25,-18.135304150085275,0.28055396673403227,<0,<0%,K팝(475050)
0048K0,중로봇,-0.5,-17.32979664014147,0.2719264733770097,<0,<0%,0048K0
371160,항셈테,-5.25,-8.919902912621358,0.2681248242437576,<0,<0%,항셈테(371160)
0038A0,미로봇,-3.25,-13.708791208791204,0.2444887087375344,<0,<0%,0038A0
XLU,XLU,-10.0,-2.8801245216790283,0.2141846719436249,<0,<0%,XLU
446770,톱반도,-2.75,-7.393468495811584,0.19595807505293167,<0,<0%,톱반도(446770)
487230,전력인,-4.0,-24.18419144307469,0.15220967618632755,<0,<0%,전력인(487230)
495050,밸류업,-4.75,-15.3010033444816,0.14725971846765315,<0,<0%,밸류업(495050)
069500,코스피,-6.25,-17.640638119227535,0.11358795395735372,<0,<0%,코스피(069500)
UNG,UNG,-12.0,-10.72410717376383,0.10282616130321329,<0,<0%,UNG
455850,반소부,-5.5,-35.08520465042204,0.10221160029012703,<0,<0%,반소부(455850)
091160,반도체,-6.25,-27.193486266427925,0.08855156590476264,<0,<0%,반도체(091160)
102970,증권주,-6.75,-37.64906303236797,0.07584871200466001,<0,<0%,증권주(102970)
FXI,FXI,5.25,-2.379915714214087,0.6724197530768765,0~7,<0%,FXI
EWW,EWW,7.25,-1.6617533196546797,0.661380006606496,0~7,<0%,EWW
XME,XME,5.0,-6.2951595001254805,0.6476330492104732,0~7,<0%,XME
EIDO,EIDO,6.25,-9.539054075428833,0.6417936951703782,0~7,<0%,EIDO
EWM,EWM,5.75,-4.627033894038046,0.6142644827178031,0~7,<0%,EWM
GRID,GRID,7.0,-4.073133162022025,0.5964322382270324,0~7,<0%,GRID
EIS,EIS,5.0,-7.744517354849856,0.5878530968180696,0~7,<0%,EIS
EWH,EWH,3.5,-4.56106319535734,0.5875166239024798,0~7,<0%,EWH
QMOM,QMOM,5.25,-2.6392270524698835,0.581881235922291,0~7,<0%,QMOM
BOTZ,BOTZ,5.5,-7.591332332568013,0.5688146511896299,0~7,<0%,BOTZ
GLD,GLD,3.25,-7.959714512291827,0.5650059900405033,0~7,<0%,GLD
ETHA,ETHA,3.5,-16.067282719631358,0.5402747545219764,0~7,<0%,ETHA
SRVR,SRVR,4.0,-8.918931472998015,0.53610152469047,0~7,<0%,SRVR
PDP,PDP,5.0,-1.6941703289454546,0.5130982804682628,0~7,<0%,PDP
117700,건설주,4.25,-26.63656884875847,0.5061606623920512,0~7,<0%,건설주(117700)
XLC,XLC,2.75,-3.7291410255953172,0.5052138968739,0~7,<0%,XLC
URA,URA,3.5,-17.36890320466865,0.4968934793325414,0~7,<0%,URA
LIT,LIT,3.5,-16.92394425638425,0.49536405622378543,0~7,<0%,LIT
117680,철강주,2.25,-29.7273526824978,0.4938814960397703,0~7,<0%,철강주(117680)
469070,ai로봇,3.0,-30.00306466441924,0.48299347267914494,0~7,<0%,ai로봇(469070)
117460,에너지,0.25,-21.981776765375848,0.47934236185960827,0~7,<0%,에너지(117460)
CARZ,CARZ,3.75,-4.520272308398354,0.47838730333652213,0~7,<0%,CARZ
SLV,SLV,2.25,-26.798220539708495,0.4739105697480825,0~7,<0%,SLV
449450,방산주,0.75,-22.36633321835115,0.4403110993464314,0~7,<0%,방산주(449450)
DBA,DBA,0.75,-3.3251622881988463,0.4359225243144302,0~7,<0%,DBA
305720,이차전,0.75,-31.757250792103342,0.43348340978934263,0~7,<0%,이차전(305720)
IBIT,IBIT,0.25,-19.650655349175985,0.42477148690092187,0~7,<0%,IBIT
241180,니케이,2.25,-0.6588169329969196,0.4176675471213699,0~7,<0%,니케이(241180)
478150,우주방,0.5,-6.6215034965035,0.415641642804327,0~7,<0%,우주방(478150)
244580,바이오,1.5,-25.638841567291315,0.40409739107262255,0~7,<0%,바이오(244580)
377990,신재생,1.5,-36.81252509032517,0.37773917547385294,0~7,<0%,신재생(377990)
139230,조선주,0.0,-32.683544303797476,0.3582055146390294,0~7,<0%,조선주(139230)
434730,원자력,0.75,-35.69691829233814,0.3559020120281459,0~7,<0%,원자력(434730)
PTF,PTF,1.0,-10.57713128077642,0.3302450609052592,0~7,<0%,PTF
229200,코스닥,0.75,-30.355771691835166,0.3199096293588913,0~7,<0%,코스닥(229200)
EWY,EWY,0.25,-6.952383003982843,0.30444231711390957,0~7,<0%,EWY
0023A0,양자컴,1.0,-22.63417551203468,0.24079530128958634,0~7,<0%,0023A0
GUNR,GUNR,8.0,-4.183263032165452,0.6992580020254721,8~10,<0%,GUNR
KSA,KSA,8.75,-1.3532476784876901,0.670940988363614,8~10,<0%,KSA
