티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
HYG,HYG,-3.5,-1.1355584454345036,0.33234833668831837,<0,<0%,HYG
434730,원자력,-1.0,-10.652290280645405,0.31069641129774755,<0,<0%,원자력(434730)
241180,니케이,-1.0,-14.976208364638122,0.30876218230223546,<0,<0%,니케이(241180)
QMOM,QMOM,-4.75,-6.477220955051322,0.2961221182481276,<0,<0%,QMOM
XBI,XBI,-1.0,-1.4275753532239643,0.2884324560616854,<0,<0%,XBI
147970,티모멘,-3.5,-16.23113728376886,0.2804994369081891,<0,<0%,티모멘(147970)
DIA,DIA,-5.5,-1.5230501567471633,0.27380367278316725,<0,<0%,DIA
BOTZ,BOTZ,-6.0,-7.169207971692004,0.2736361910219315,<0,<0%,BOTZ
305720,이차전,-6.25,-10.747663551401864,0.26691714992694465,<0,<0%,이차전(305720)
469070,ai로봇,-4.5,-6.3036020583190355,0.25619089799081673,<0,<0%,ai로봇(469070)
JETS,JETS,-3.0,-14.328723544007504,0.2537611231663974,<0,<0%,JETS
VYM,VYM,-7.0,-0.4155971626134569,0.24580276654131292,<0,<0%,VYM
ICLN,ICLN,-3.25,-17.179114187816225,0.2376497505575728,<0,<0%,ICLN
475050,K팝,-7.0,-10.491803278688527,0.2372744255229207,<0,<0%,K팝(475050)
377990,신재생,-5.0,-12.004144464179989,0.22906967525771416,<0,<0%,신재생(377990)
XLI,XLI,-5.75,-7.3737396146001055,0.22779413898736575,<0,<0%,XLI
EWL,EWL,-6.0,-3.834526501069757,0.22682534972575139,<0,<0%,EWL
PAVE,PAVE,-5.75,-9.436858230873558,0.22593872882310848,<0,<0%,PAVE
KBE,KBE,-6.5,-4.47548242970538,0.22468157345509024,<0,<0%,KBE
VNM,VNM,-6.75,-6.670289663567086,0.2246544979984477,<0,<0%,VNM
INDA,INDA,-7.25,-3.70519951199062,0.22327611701804878,<0,<0%,INDA
0048K0,중로봇,-4.25,-21.951698409581777,0.21421132323792547,<0,<0%,0048K0
139230,조선주,-5.0,-15.50459321921882,0.2118606574110778,<0,<0%,조선주(139230)
TLT,TLT,-7.75,-7.034113534119701,0.2069355563028547,<0,<0%,TLT
XLP,XLP,-8.5,-2.5277775729770857,0.20428986473188024,<0,<0%,XLP
IWM,IWM,-7.25,-6.009114517032432,0.20147401551781718,<0,<0%,IWM
411060,금현물,-4.75,-3.717135086128742,0.2000739099935608,<0,<0%,금현물(411060)
XLY,XLY,-7.0,-5.598554899954733,0.1952868035225223,<0,<0%,XLY
371160,항셈테,-4.0,-13.020134228187919,0.1889329375525482,<0,<0%,항셈테(371160)
KRE,KRE,-9.5,-4.683983758780852,0.18385521346585906,<0,<0%,KRE
EWW,EWW,-8.0,-3.6667923873093144,0.18269354440286972,<0,<0%,EWW
453810,인디아,-5.5,-15.392805536542697,0.18198587907689345,<0,<0%,인디아(453810)
IJH,IJH,-9.5,-5.390428966553918,0.17731440956350697,<0,<0%,IJH
