티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
229200,코스닥,-1.5,-20.535459982910854,0.3674066301541702,<0,<0%,코스닥(229200)
411060,금현물,-2.0,-9.050223769269017,0.3392322648830088,<0,<0%,금현물(411060)
TLT,TLT,-1.75,-3.005651431315093,0.3101921380150613,<0,<0%,TLT
REMX,REMX,-3.75,-13.997058820489872,0.30649646510336265,<0,<0%,REMX
244580,바이오,-4.25,-17.44639376218323,0.302238824209755,<0,<0%,바이오(244580)
XLY,XLY,-2.5,-0.036272902677469965,0.28848236633088414,<0,<0%,XLY
CARZ,CARZ,-1.5,-5.882366737550138,0.27716793960592323,<0,<0%,CARZ
475050,K팝,-1.5,-11.378413524057219,0.2720120028106543,<0,<0%,K팝(475050)
449450,방산주,-4.0,-14.924402536172977,0.25925288161342297,<0,<0%,방산주(449450)
SMH,SMH,-2.5,-4.295324059298034,0.24088022403315404,<0,<0%,SMH
446770,톱반도,-4.5,-17.54614549402823,0.21838403919963018,<0,<0%,톱반도(446770)
0051G0,에셈알,-5.0,-19.873532068654022,0.20943328202775033,<0,<0%,0051G0
MTUM,MTUM,-5.5,-3.139754405349804,0.2036523375518628,<0,<0%,MTUM
XLI,XLI,-5.5,-0.5884845970560937,0.20003448132277987,<0,<0%,XLI
469070,ai로봇,-6.25,-30.30589719331441,0.1966179643027762,<0,<0%,ai로봇(469070)
BOTZ,BOTZ,-5.75,-7.404997883683384,0.18650485713040432,<0,<0%,BOTZ
ITB,ITB,-6.0,-0.4179533799652635,0.18444036157983665,<0,<0%,ITB
PDP,PDP,-6.5,-5.66239123493385,0.17925716119528312,<0,<0%,PDP
JETS,JETS,-6.0,-0.1789589958963389,0.17425187741232273,<0,<0%,JETS
SRVR,SRVR,-7.0,-9.405507492929388,0.17194659136640503,<0,<0%,SRVR
102970,증권주,-5.25,-27.24757952973721,0.17177734201190512,<0,<0%,증권주(102970)
241180,니케이,-8.0,-10.469973890339423,0.16756336830959245,<0,<0%,니케이(241180)
GRID,GRID,-7.25,-6.068510935065607,0.1616716459591503,<0,<0%,GRID
QMOM,QMOM,-8.0,-5.843894166202778,0.15501615350964187,<0,<0%,QMOM
091180,자동차,-7.5,-27.269215913480103,0.1426901045436909,<0,<0%,자동차(091180)
PAVE,PAVE,-7.75,-4.7026249178145685,0.14178844368572585,<0,<0%,PAVE
XLU,XLU,-11.0,-3.423295357408329,0.12970387594422117,<0,<0%,XLU
ITA,ITA,-8.5,-1.6699622478328013,0.1286867899996869,<0,<0%,ITA
0023A0,양자컴,-8.0,-36.54580152671756,0.09439662543613803,<0,<0%,0023A0
0038A0,미로봇,-9.5,-22.525597269624576,0.09062146420372064,<0,<0%,0038A0
ICLN,ICLN,-9.0,-18.91992383497554,0.08638258736112406,<0,<0%,ICLN
453810,인디아,-12.0,-8.274509803921571,0.0795942593556128,<0,<0%,인디아(453810)
487230,전력인,-8.0,-30.640616193875637,0.06134766599938596,<0,<0%,전력인(487230)
PTF,PTF,-8.5,-23.090815732515857,0.05758662131552565,<0,<0%,PTF
0048K0,중로봇,-10.25,-30.194256756756754,0.029686547356518815,<0,<0%,0048K0
371160,항셈테,-12.0,-16.91934505761067,0.02415547143580604,<0,<0%,항셈테(371160)
478150,우주방,-11.5,-19.64661337820782,0.023863473342846647,<0,<0%,우주방(478150)
TAN,TAN,-10.75,-26.838410027108473,0.019605844102195475,<0,<0%,TAN
117680,철강주,5.0,-9.081196581196583,0.5902759187943677,0~7,<0%,철강주(117680)
305720,이차전,6.5,-14.728033472803348,0.584641411639776,0~7,<0%,이차전(305720)
377990,신재생,7.0,-18.25972313777192,0.5775654127127421,0~7,<0%,신재생(377990)
117700,건설주,5.75,-8.20689655172414,0.5548023471395219,0~7,<0%,건설주(117700)
325020,케모멘,7.25,-9.939393939393938,0.5511391212287239,0~7,<0%,케모멘(325020)
117460,에너지,2.5,-8.965738072366314,0.5489361432040083,0~7,<0%,에너지(117460)
XME,XME,6.25,-2.3193906779556794,0.5268243033691365,0~7,<0%,XME
434730,원자력,5.0,-14.162651481968169,0.5163418246549433,0~7,<0%,원자력(434730)
455850,반소부,2.75,-18.64809782608695,0.5143619100989082,0~7,<0%,반소부(455850)
449190,나스닥,5.0,-2.5263620386643204,0.5048737003086913,0~7,<0%,나스닥(449190)
UNG,UNG,3.5,-9.340189764026485,0.4956552069867785,0~7,<0%,UNG
LIT,LIT,4.0,-4.174778183013816,0.4690676356288549,0~7,<0%,LIT
147970,티모멘,2.25,-17.232922904000414,0.43980357354993377,0~7,<0%,티모멘(147970)
XLC,XLC,2.75,-0.44913185172155146,0.4254062682497381,0~7,<0%,XLC
091160,반도체,1.5,-20.651482376892737,0.4155358898760137,0~7,<0%,반도체(091160)
069500,코스피,1.0,-17.663893764786685,0.3986801071926419,0~7,<0%,코스피(069500)
495050,밸류업,1.25,-15.801855966540323,0.3978837091289739,0~7,<0%,밸류업(495050)
EIS,EIS,3.5,-1.7047513171920103,0.3962012490795096,0~7,<0%,EIS
SLV,SLV,1.25,-5.928214299123569,0.39158681310105786,0~7,<0%,SLV
URA,URA,2.25,-3.023621066119875,0.3791897375584358,0~7,<0%,URA
139230,조선주,0.0,-20.40256175663312,0.32066240650683203,0~7,<0%,조선주(139230)
EWI,EWI,-0.5,7.525196003169343,0.3570851780149243,<0,0~15%,EWI
EWL,EWL,-0.5,4.304074096722221,0.3476562789728584,<0,0~15%,EWL
THD,THD,-0.5,1.226316487609247,0.3365151189472928,<0,0~15%,THD
IWM,IWM,-1.5,3.4124014318776874,0.3151319357795271,<0,0~15%,IWM
IJH,IJH,-2.25,1.1303402056247247,0.2944656823004491,<0,0~15%,IJH
EWQ,EWQ,-3.5,2.5678508211448348,0.2752731262487747,<0,0~15%,EWQ
VNQ,VNQ,-5.25,0.37068555994623775,0.25114091649522635,<0,0~15%,VNQ
KBE,KBE,-4.5,4.974326043693811,0.24696232694950357,<0,0~15%,KBE
KRE,KRE,-5.0,4.096777220438752,0.22962656026021647,<0,0~15%,KRE
EPHE,EPHE,-9.5,1.1613687876433243,0.13903136030254004,<0,0~15%,EPHE
XLV,XLV,7.0,12.690089870090372,0.633564210918242,0~7,0~15%,XLV
EWZ,EWZ,6.75,8.550857266570965,0.5531434047759339,0~7,0~15%,EWZ
XLB,XLB,7.5,3.228707087071392,0.5397000906916327,0~7,0~15%,XLB
449180,에센피,6.5,1.4484185634052515,0.5381479845249392,0~7,0~15%,에센피(449180)
EWJ,EWJ,6.5,5.530594393398935,0.4970093802133912,0~7,0~15%,EWJ
XLF,XLF,4.25,9.752148105381009,0.49668203216274104,0~7,0~15%,XLF
EWA,EWA,7.0,7.260008434191856,0.4959830879470228,0~7,0~15%,EWA
VUG,VUG,5.5,1.78854526093859,0.48447405519548986,0~7,0~15%,VUG
ENZL,ENZL,6.0,7.800333870478582,0.47429177489358626,0~7,0~15%,ENZL
XLK,XLK,5.25,1.9739167745856045,0.4658626212668683,0~7,0~15%,XLK
EWU,EWU,4.5,5.390880553594335,0.4645703866688114,0~7,0~15%,EWU
SPY,SPY,5.25,3.551291267014056,0.4638898167229943,0~7,0~15%,SPY
VTV,VTV,2.0,6.152462215109433,0.4602552690819936,0~7,0~15%,VTV
DIA,DIA,3.75,3.9394273607657126,0.4590473221760615,0~7,0~15%,DIA
GLD,GLD,4.0,0.12871234054980807,0.4578090269072581,0~7,0~15%,GLD
EWC,EWC,4.0,4.919773579352826,0.45406882642086643,0~7,0~15%,EWC
EWW,EWW,5.5,2.2282290869584997,0.44486646045817474,0~7,0~15%,EWW
EWM,EWM,5.25,1.3792363065170399,0.4286534584313403,0~7,0~15%,EWM
EWP,EWP,1.75,10.132979198949998,0.4283161271264253,0~7,0~15%,EWP
EWH,EWH,4.0,5.016261819964796,0.42422298478068354,0~7,0~15%,EWH
XLP,XLP,0.5,2.8781306375690763,0.42116679658951434,0~7,0~15%,XLP
EFA,EFA,1.25,5.7844160027283875,0.4033155861447753,0~7,0~15%,EFA
INDA,INDA,0.5,4.731731455950028,0.40187116983016585,0~7,0~15%,INDA
VGK,VGK,1.25,5.538426636877802,0.3994108383060248,0~7,0~15%,VGK
QQQ,QQQ,3.0,0.4762275347078848,0.3963912538152589,0~7,0~15%,QQQ
VYM,VYM,0.75,3.8437084213883477,0.38471683673802237,0~7,0~15%,VYM
FXI,FXI,0.0,2.461440793486558,0.34016350560882197,0~7,0~15%,FXI
GUNR,GUNR,10.0,8.614693001634976,0.6985062974914806,8~10,0~15%,GUNR
ARKK,ARKK,10.5,11.531754884722801,0.6652961621178074,8~10,0~15%,ARKK
EMGF,EMGF,10.0,4.202979216280878,0.6218921354417709,8~10,0~15%,EMGF
SCHD,SCHD,8.0,8.629212905320948,0.6188533493487214,8~10,0~15%,SCHD
EZA,EZA,8.0,10.39915641317901,0.5987149047674908,8~10,0~15%,EZA
SCZ,SCZ,9.5,4.466330268677821,0.595537979269098,8~10,0~15%,SCZ
PICK,PICK,9.25,4.659261154422323,0.5902853996893783,8~10,0~15%,PICK
COPX,COPX,9.5,11.040750631606745,0.5767371131824703,8~10,0~15%,COPX
KSA,KSA,10.25,4.728755240316462,0.574307486817704,8~10,0~15%,KSA
TUR,TUR,10.5,5.773339982524073,0.5690071641779798,8~10,0~15%,TUR
EWG,EWG,10.75,5.227627797232826,0.5597801833923636,8~10,0~15%,EWG
CIBR,CIBR,8.25,11.052741995061211,0.5380943184602586,8~10,0~15%,CIBR
EWY,EWY,8.0,0.34819373357539707,0.5015676825724878,8~10,0~15%,EWY
HYG,HYG,8.0,0.5318850818709198,0.49199275981349266,8~10,0~15%,HYG
DBA,DBA,16.0,11.704546201656019,0.8189427035872787,11+,0~15%,DBA
PDBC,PDBC,13.5,9.106530561057657,0.8040270843980125,11+,0~15%,PDBC
EWT,EWT,15.0,11.888250219243957,0.7775716420234511,11+,0~15%,EWT
GMOM,GMOM,15.5,5.779204569936325,0.7758208174751636,11+,0~15%,GMOM
XLE,XLE,11.5,13.121390726120708,0.7496448740164653,11+,0~15%,XLE
