티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
229200,코스닥,-1.0,-19.381787802840435,0.43834783070132977,<0,<0%,코스닥(229200)
139230,조선주,-0.5,-20.251682762657296,0.3907068143811867,<0,<0%,조선주(139230)
244580,바이오,-2.0,-17.372679676344593,0.3792839196807938,<0,<0%,바이오(244580)
117460,에너지,-2.5,-12.618296529968454,0.35527278481717306,<0,<0%,에너지(117460)
449450,방산주,-4.0,-13.10817194142655,0.3287632789640288,<0,<0%,방산주(449450)
0051G0,에셈알,-1.75,-15.227342081171802,0.3188353388376079,<0,<0%,0051G0
469070,ai로봇,-6.5,-36.081003993154596,0.26961249178776664,<0,<0%,ai로봇(469070)
CARZ,CARZ,-1.75,-13.823092545698657,0.24882870747537256,<0,<0%,CARZ
SMH,SMH,-2.0,-13.292057660662914,0.23111636538954383,<0,<0%,SMH
446770,톱반도,-4.5,-18.451619778346117,0.22519383557504846,<0,<0%,톱반도(446770)
MTUM,MTUM,-3.0,-8.940485803569931,0.22053526972144327,<0,<0%,MTUM
475050,K팝,-3.75,-14.366021236727045,0.21931733620823934,<0,<0%,K팝(475050)
PDP,PDP,-3.25,-8.009621272546319,0.2189143219172996,<0,<0%,PDP
241180,니케이,-5.5,-9.782893015956052,0.20876069384511126,<0,<0%,니케이(241180)
PAVE,PAVE,-4.25,-3.286799440232546,0.2076078126055429,<0,<0%,PAVE
BOTZ,BOTZ,-5.25,-11.179838013689736,0.18540855926803373,<0,<0%,BOTZ
GRID,GRID,-5.25,-8.738504493445454,0.1853712657213684,<0,<0%,GRID
QMOM,QMOM,-5.25,-10.212308831593697,0.17297292959003732,<0,<0%,QMOM
0023A0,양자컴,-6.0,-36.422356973372004,0.16644813879098327,<0,<0%,0023A0
102970,증권주,-5.5,-26.18051404662284,0.16631244517498303,<0,<0%,증권주(102970)
091180,자동차,-6.75,-31.19176066699363,0.15238488735302227,<0,<0%,자동차(091180)
ICLN,ICLN,-5.0,-24.093045830898575,0.13466745548560624,<0,<0%,ICLN
EPHE,EPHE,-9.0,-1.4768570041989948,0.12685375627877188,<0,<0%,EPHE
XLU,XLU,-9.5,-1.6178139232053468,0.11681474512765254,<0,<0%,XLU
