ticker,name,close,change,nxt,market_cap_uk,tv_today_uk,tv5_uk,state,legacy_state,setup_score,total_score,sideways_score,convergence_score,long_structure_score,breakout_score,grade,best_setup_score,best_setup_age,ma5,ma10,ma20,ma60,ma120,close_range_pct,net_change_pct,low_change_pct,tr_ratio,spread_pct,spread_5bars_ago,spread_10bars_ago,shrink_pct,ma20_slope_abs_pct,convergence_hits,ma60_down_ratio,ma120_down_ratio,close_ma60_gap_pct,close_ma120_gap_pct,ma20_ma60_gap_pct,volume_ratio,close_location,breakout_margin_pct,score_sideways_range,score_sideways_net,score_low_stability,score_volatility_contraction,score_spread_level,score_spread_shrink,score_spread_sequence,score_ma20_flatness,score_convergence_persistence,score_ma60_down,score_ma120_down,score_close_ma60_gap,score_close_ma120_gap,score_ma20_ma60_gap,score_first_breakout,score_volume,score_close_location,score_breakout_margin,mandatory_structure_pass,sideways_min_pass,convergence_min_pass,setup_min_pass,setup_ready,first_all_above,fire_ready
007660,이수페타시스,74400.0,1.64,NXT,71867,703.0,1049.0,,,13.28,,0.19,0.0,13.09,1.14,,,,68760.0,79530.0,87545.0,112020.0,116008.33,70.58,26.7,-27.24,1.27,27.32,10.58,9.65,-183.0,12.33,0,65.85,95.12,50.56,55.93,27.96,0.7,0.66,-15.02,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2.09,4.0,3.0,3.0,1.0,0.0,0.0,1.14,0.0,True,False,False,False,False,False,False
035720,카카오,37200.0,-0.53,,149949,629.0,1030.0,,,62.87,,26.05,23.63,13.19,3.54,,69.56,3,36340.0,36290.0,35600.0,38501.67,44915.0,11.14,4.49,2.54,1.2,2.08,2.63,0.1,-1971.23,0.81,10,100.0,100.0,3.5,20.74,8.15,0.79,0.81,2.37,8.86,6.51,10.0,0.68,12.76,0.0,1.5,4.37,5.0,4.0,4.0,1.19,3.0,1.0,0.0,0.0,1.54,2.0,True,True,True,True,False,False,False
950160,코오롱티슈진,14290.0,9.92,,61943,680.0,510.0,,,15.65,,5.0,0.0,10.65,2.07,,,,13344.0,19163.0,49466.5,86577.17,93956.08,708.91,83.82,-79.3,0.21,270.7,177.0,24.94,-985.59,28.52,0,82.93,29.27,505.86,557.5,75.02,1.53,0.51,-71.11,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,3.0,3.0,1.0,0.0,1.53,0.54,0.0,True,False,False,False,False,False,False
259960,크래프톤,235000.0,-2.69,NXT,106117,342.0,475.0,,WATCH,52.66,,23.43,20.62,8.61,0.88,,,,245700.0,242000.0,238425.0,246191.67,247133.33,16.93,0.86,1.15,1.07,3.05,1.43,1.94,-57.08,0.89,10,65.85,78.05,4.76,5.16,3.26,1.15,0.18,-4.35,2.46,9.43,10.0,1.54,9.9,0.0,1.5,4.22,5.0,2.09,3.3,1.66,1.02,0.54,0.0,0.88,0.0,0.0,True,True,True,False,False,False,False
039490,키움증권,273500.0,-5.69,NXT,80783,584.0,564.0,,,12.5,,0.0,1.5,11.0,1.32,,,,271400.0,288850.0,308325.0,350550.0,396833.33,39.19,24.13,-19.27,1.37,13.61,6.28,3.31,-310.67,5.28,3,100.0,34.15,28.17,45.09,13.69,1.39,0.32,-11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,0.0,3.0,3.0,1.0,0.0,1.32,0.0,0.0,True,False,False,False,False,False,False
323280,태성,37350.0,19.52,NXT,10566,718.0,312.0,,,21.55,,7.32,0.17,14.06,7.42,,,,29620.0,31250.0,34002.5,48985.0,58482.92,66.6,3.86,-26.9,1.27,14.8,12.08,10.83,-36.56,7.73,0,100.0,75.61,31.15,56.58,44.06,3.33,0.75,9.84,0.0,7.14,0.0,0.18,0.0,0.17,0.0,0.0,0.0,4.0,3.06,3.0,3.0,1.0,4.0,2.0,1.38,0.04,True,False,False,False,False,True,False
089030,테크윙,46300.0,11.7,,17952,821.0,471.0,,,21.79,,9.71,3.5,8.58,8.23,,,,38600.0,42640.0,43842.5,51170.83,52476.67,62.7,0.43,-16.11,1.4,13.58,1.83,8.3,-63.58,6.87,4,68.29,34.15,10.52,13.34,16.72,1.33,0.9,5.61,0.0,9.71,0.0,0.0,0.0,0.0,1.5,0.0,2.0,2.33,0.0,3.0,2.25,1.0,4.0,1.21,1.82,1.2,True,False,False,False,False,True,False
087010,펩트론,166100.0,31.1,NXT,25649,933.0,719.0,,,35.0,,10.0,10.0,15.0,6.0,,,,135940.0,124930.0,128610.0,202480.0,241244.17,82.77,12.02,2.76,1.31,8.81,24.0,40.15,78.05,8.96,0,100.0,100.0,21.9,45.24,57.44,0.64,1.0,22.19,0.0,0.0,10.0,0.0,0.0,7.0,3.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,4.0,0.0,2.0,0.0,True,False,False,False,False,True,False
047050,포스코인터내셔널,51300.0,-1.91,NXT,90248,257.0,344.0,,WATCH,52.39,,19.92,20.19,12.28,0.12,,,,50740.0,52340.0,51207.5,58114.17,66415.42,18.61,2.81,0.74,1.2,3.15,5.42,1.84,-71.04,0.08,8,100.0,58.54,13.28,29.46,13.49,0.74,0.42,-1.99,1.11,8.13,10.0,0.68,9.69,0.0,1.5,5.0,4.0,4.0,1.28,3.0,3.0,1.0,0.0,0.0,0.12,0.0,True,False,True,False,False,False,False
003670,포스코퓨처엠,136300.0,-0.29,NXT,128349,499.0,641.0,,,18.78,,0.0,4.13,14.65,1.27,,,,131580.0,137600.0,143150.0,190568.33,206629.17,30.3,14.11,-15.16,1.35,8.79,6.67,9.39,6.35,6.56,0,82.93,92.68,39.82,51.6,33.12,0.9,0.61,-4.79,0.0,0.0,0.0,0.0,0.0,2.63,1.5,0.0,0.0,3.65,4.0,3.0,3.0,1.0,0.0,0.25,1.02,0.0,True,False,False,False,False,False,False
