asof,base_ticker,base_market,base_name,lev_ticker,lev_market,final_order_ticker,final_order_market,order_symbol_or_prefix,is_lev2,lev_reason,fallback_reason,atr_ratio,index_ret20,index_ret60,qqq_color,spy_color,kr_color,liquidity_20d,liquidity_10d_eok,liq2_min_eok,age_bars,order_qty,order_amount
2026-09-16 14:00:40,PDBC,US,,,,PDBC,US,ND:PDBC,False,,2x 매핑 없음 (NO_2X),1.3211,-1.9775583366767102,1.4261992125773393,PURPLE,PURPLE,-,,,,,58,1552559
2026-09-16 14:00:40,XLE,US,Energy,DIG,US,XLE,US,NY:XLE,False,,거래대금 탈락 (20일 평균 38.1억 < 1000억),1.2594,-1.9775583366767102,1.4261992125773393,PURPLE,PURPLE,-,2792159.52,38.1,1000,2752,14,1222598
