티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
VNQ,VNQ,-0.25,2.164907799644644,0.37826659336534335,<0,0~15%,VNQ
XLE,XLE,4.5,5.177866961864863,0.599470467122442,0~7,0~15%,XLE
ARKK,ARKK,7.0,3.062138752337451,0.5814797781198322,0~7,0~15%,ARKK
XLP,XLP,5.5,0.967219331473923,0.5212358005706459,0~7,0~15%,XLP
MTUM,MTUM,4.0,0.7398635275461363,0.45315719038805846,0~7,0~15%,MTUM
241180,니케이,4.25,0.86993124736916,0.4250612354315972,0~7,0~15%,니케이(241180)
EZA,EZA,8.25,0.6897178542135673,0.7100176722924196,8~10,0~15%,EZA
EPHE,EPHE,10.25,6.360114053751054,0.6998706950307316,8~10,0~15%,EPHE
KBE,KBE,10.5,13.816127349942242,0.677918194198347,8~10,0~15%,KBE
INDA,INDA,10.0,4.501875506502828,0.6771182382819084,8~10,0~15%,INDA
XLK,XLK,10.75,5.480441445619766,0.6681542245739835,8~10,0~15%,XLK
KRE,KRE,9.0,13.90324480215357,0.6432103867290158,8~10,0~15%,KRE
QQQ,QQQ,10.0,0.9727232429294741,0.6333038883747864,8~10,0~15%,QQQ
ARKW,ARKW,8.0,2.613704772534975,0.6048585379370407,8~10,0~15%,ARKW
EWT,EWT,8.5,7.71663466975081,0.5865645216715988,8~10,0~15%,EWT
091170,은행주,10.0,3.50421804023362,0.5739119566018162,8~10,0~15%,은행주(091170)
EWQ,EWQ,16.0,8.30732086003656,0.8629382560709766,11+,0~15%,EWQ
228790,화장품,15.0,5.418719211822665,0.8610061842295994,11+,0~15%,화장품(228790)
EWP,EWP,16.0,12.365957478372835,0.8560331910144972,11+,0~15%,EWP
EWG,EWG,16.0,6.143219999520055,0.8500189338905768,11+,0~15%,EWG
VGK,VGK,16.0,6.754118384246932,0.8386305679740906,11+,0~15%,VGK
EWS,EWS,14.5,14.89533870892723,0.8376639018523563,11+,0~15%,EWS
EWC,EWC,16.0,7.012771088000114,0.8374977556902884,11+,0~15%,EWC
ITA,ITA,15.0,11.340338139821693,0.835784254900289,11+,0~15%,ITA
EFA,EFA,16.0,5.671967922854337,0.8236537957065762,11+,0~15%,EFA
SCHD,SCHD,15.5,8.542662022215719,0.822025490500052,11+,0~15%,SCHD
EWI,EWI,15.0,9.347299808492737,0.8141959904691168,11+,0~15%,EWI
IJH,IJH,16.0,6.2945544676127785,0.8119352794905298,11+,0~15%,IJH
VTV,VTV,16.0,8.523147574415368,0.8116056425779294,11+,0~15%,VTV
VYM,VYM,16.0,7.356301837610557,0.8104077249665658,11+,0~15%,VYM
EWA,EWA,14.5,4.6440816232729,0.8024901144554554,11+,0~15%,EWA
GREK,GREK,12.0,14.6308983075643,0.7986905982226629,11+,0~15%,GREK
EWL,EWL,15.5,6.052920895236236,0.7931982343578966,11+,0~15%,EWL
SPY,SPY,15.5,4.406724890577718,0.7914198674257726,11+,0~15%,SPY
SCZ,SCZ,15.0,2.0703427392121387,0.7866148608290758,11+,0~15%,SCZ
XLF,XLF,13.0,13.772322248025404,0.7815669933000374,11+,0~15%,XLF
XLB,XLB,14.0,2.533314200788306,0.7736849332490994,11+,0~15%,XLB
449180,에센피,15.5,3.3731343283582182,0.7658197600330072,11+,0~15%,에센피(449180)
EWU,EWU,12.5,4.871194278920377,0.763875056647715,11+,0~15%,EWU
DIA,DIA,14.0,8.804827878088183,0.7621604016966212,11+,0~15%,DIA
ENZL,ENZL,13.0,5.8366883744988,0.7558706668970302,11+,0~15%,ENZL
XLI,XLI,14.0,6.585756985151403,0.7519215724106051,11+,0~15%,XLI
IWM,IWM,13.5,6.376120657674722,0.7493482454138825,11+,0~15%,IWM
ARKF,ARKF,13.75,4.383621987068276,0.7456013099689173,11+,0~15%,ARKF
PAVE,PAVE,13.5,3.42170095628731,0.7452027439408505,11+,0~15%,PAVE
EWJ,EWJ,13.25,3.7403313041446173,0.7299272385799859,11+,0~15%,EWJ
THD,THD,12.5,4.525202677055407,0.7182210721276896,11+,0~15%,THD
HYG,HYG,13.75,0.9220507777968789,0.7179958517134556,11+,0~15%,HYG
VUG,VUG,12.5,2.0213652218805223,0.7176451956958132,11+,0~15%,VUG
VWO,VWO,12.5,0.7702817170458065,0.7109381882983598,11+,0~15%,VWO
XLY,XLY,12.5,1.0010610484714633,0.7002680816220588,11+,0~15%,XLY
ITB,ITB,11.0,10.769500077776396,0.673611168588608,11+,0~15%,ITB
XBI,XBI,9.5,16.441015545288096,0.6776426074997788,8~10,15~30%,XBI
IGV,IGV,15.0,18.543671660235006,0.9188336693427279,11+,15~30%,IGV
IBB,IBB,13.5,15.869180768410418,0.8203921823262313,11+,15~30%,IBB
XLV,XLV,14.0,15.31788384079551,0.8094102832742174,11+,15~30%,XLV
SVXY,SVXY,15.0,16.712437297503225,0.7853850171080633,11+,15~30%,SVXY
JETS,JETS,11.0,20.321475483488815,0.6027293525007175,11+,15~30%,JETS
CIBR,CIBR,15.5,32.744245625483416,0.904328384746443,11+,30%+,CIBR
