Ticker,Signal_sco,수익률(%),당일등락률(%),시가,고가,저가,종가,거래량,거래대금,HighVol,NewSig,is_lime,is_green,is_red,RSI14,MA5,MA10,MA20,MA60,MA120,정배열값(jung),HLd99,HLv99,HLv71,HLv7,Stoch_K3,Stoch_K2,ATR5,ATR60,Norm_sco,Norm_rtn,Final_score
VIAV,16.0,131.78036230736492,-2.2227438596898352,43.47999954223633,43.63999938964844,41.65999984741211,41.790000915527344,5174700.0,216250717.73757935,False,-,True,False,False,62.08716018964789,40.07000045776367,37.226999855041505,35.20349979400635,29.008499908447266,23.042999974886577,,2,2.0,1.0,1.0,79.72647559270406,89.8566632838541,2.546000671386719,2.1193333943684896,1.0,0.997365030529204,99.96047545793806
ICHR,16.0,120.05358533013082,4.147801038763976,56.400001525878906,58.2400016784668,54.584999084472656,57.5,667800.0,38398500.0,False,-,True,False,False,56.383836268444156,52.39799880981445,49.18799934387207,48.240499877929686,42.41900014877319,30.59800008138021,,2,2.0,1.0,1.0,66.3310917622764,77.97896938261606,3.6740013122558595,3.7606334686279297,1.0,0.9387691694529833,99.08153754179475
UCTT,16.0,101.67597034014535,4.163230049625666,74.4000015258789,76.98999786376953,72.87999725341797,75.80999755859375,910300.0,69009840.77758789,False,-,True,False,False,58.175418122124015,68.7859992980957,64.75299949645996,62.37099952697754,55.585499954223636,41.32791657447815,,2,2.0,1.0,1.0,75.23620336356717,82.89422617893564,4.635999298095703,4.521333758036295,1.0,0.8469406835053086,97.70411025257962
DNTH,16.0,100.11144766313657,-2.061975718449882,92.0,92.25,88.0,89.7699966430664,481100.0,43188345.38497925,False,-,True,False,False,69.82708045340867,88.12200012207032,85.56699905395507,82.34899978637695,63.8756664276123,51.65666650136312,,2,2.0,1.0,1.0,84.59895832176957,83.6417935251333,3.93800048828125,4.289833005269369,1.0,0.8391231430497702,97.58684714574656
AGX,16.0,92.25063959244085,-0.8944757616923149,611.3400268554688,614.6599731445312,600.0,603.8400268554688,219800.0,132724037.90283203,False,-,True,False,False,61.049896796148595,590.1340087890625,572.2460021972656,515.0395004272461,439.804665629069,382.70599975585935,,2,2.0,1.0,1.0,88.05335553290062,92.04451432361313,24.41597900390625,30.221497090657554,1.0,0.7998445911892264,96.9976688678384
GLW,16.0,90.52070619266972,0.8480579596734872,172.61000061035156,176.75,167.97000122070312,171.24000549316406,9880500.0,1691936874.2752075,False,-,True,False,False,57.85117751935727,160.23200378417968,149.27900238037108,141.30100173950194,129.0505007425944,107.83158359527587,,2,2.0,1.0,1.0,74.63614407362574,92.01369335712701,9.541995239257812,8.318000666300456,1.0,0.7912005334604154,96.86800800190623
ELVN,16.0,75.99999881485134,-0.5922361413906341,45.970001220703125,46.310001373291016,44.650001525878906,45.31999969482422,1124500.0,50962339.656829834,True,-,True,False,False,70.60562532622059,43.1879997253418,40.718000411987305,35.66200017929077,30.352416769663492,25.091958379745485,,2,2.0,1.0,1.0,88.35805607828023,90.60538778069213,2.7139984130859376,1.9899162928263345,1.0,0.7186440796376037,95.77966119456406
POWL,16.0,73.58690175571279,0.05632549897649497,230.80999755859375,235.30999755859375,227.0,230.94000244140625,708800.0,163690273.73046875,False,-,True,False,False,59.159836602530966,213.64800109863282,196.27533416748048,186.342333984375,173.74738896687825,144.42736123402912,,2,2.0,1.0,1.0,72.11550354202495,88.15581443239675,15.646002197265625,11.295333607991536,1.0,0.706586418754718,95.59879628132077
FORM,16.0,70.6409343131768,2.2548966414594807,122.1500015258789,126.30000305175781,121.58999633789062,123.80000305175781,1743400.0,215832925.32043457,False,-,True,False,False,60.7786466488905,114.452001953125,106.26600189208985,101.6145004272461,91.64200007120768,73.09866669972737,,2,2.0,1.0,1.0,74.16588711149048,86.50163246478454,6.351998901367187,6.076666005452474,1.0,0.6918661337750491,95.37799200662573
RAPT,16.0,66.01317500846953,0.0,58.005001068115234,58.005001068115234,58.005001068115234,58.005001068115234,0.0,0.0,False,-,False,False,False,78.91961799968355,58.005001068115234,57.97750053405762,57.87675037384033,47.09666678110759,37.63754177093506,,2,2.0,-1.0,1.0,95.3771014840845,97.56345812024895,0.005999755859375,1.5230448404947916,1.0,0.668742342656718,95.03113513985078
