봇,보유단위,주,총거래수,승률(%),손익비,평균수익(%),평균손실(%),최대수익(%),최대손실(%),수익 평균보유,손실 평균보유,기대값(%/거래),기대값(원/거래),PF,"실현손익합(원,net)",수수료·세금(원),"실현손익합(원,gross)",환율(USDKRW)
KR_TR_VOLUME_1,일,08/17~08/21,1,100.0,,1.3,,1.3,,7.0,,1.299,6421,,6421,149,6570,1410.0
KR_TR_VOLUME_1,일,전체,1,100.0,,1.3,,1.3,,7.0,,1.299,6421,,6421,149,6570,

KR_TR_VOLUME_2,일,전체,0,,,,,,,,,,,,0,0,0,

KR_TR_VCP1,일,전체,0,,,,,,,,,,,,0,0,0,

KR_TR_VCP2,일,전체,0,,,,,,,,,,,,0,0,0,

KR_TR_JEO2,일,전체,0,,,,,,,,,,,,0,0,0,

KR_TR_MA,일,전체,0,,,,,,,,,,,,0,0,0,

KR_TR_ADD1,일,전체,0,,,,,,,,,,,,0,0,0,

미국VCP,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_ORD_A,일,08/10~08/14,1,0.0,0.0,,10.01,,10.01,,3.0,-10.012,-71414,0.0,-71414,949,-70465,1411.0
US_TR_ORD_A,일,08/17~08/21,1,0.0,0.0,,4.74,,4.74,,7.0,-4.743,-23723,0.0,18358,2013,20371,1410.0
US_TR_ORD_A,일,전체,2,0.0,0.0,,7.38,,10.01,,5.0,-7.378,-47568,0.0,-53056,2962,-50094,

US_TR_VOLUME_1,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_VOLUME_2,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_VCP1,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_VCP2,일,08/10~08/14,1,0.0,0.0,,6.8,,6.8,,5.0,-6.802,-9876,0.0,-9876,196,-9679,1411.0
US_TR_VCP2,일,전체,1,0.0,0.0,,6.8,,6.8,,5.0,-6.802,-9876,0.0,-21853,1316,-20536,

US_TR_JEO2,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_MA,일,08/17~08/21,1,0.0,0.0,,4.62,,4.62,,4.0,-4.62,-14530,0.0,-14927,594,-14333,1410.0
US_TR_MA,일,전체,1,0.0,0.0,,4.62,,4.62,,4.0,-4.62,-14530,0.0,-14927,594,-14333,

US_TR_ADD1,일,전체,0,,,,,,,,,,,,0,0,0,

US_TR_LEGACY,일,08/17~08/21,1,0.0,0.0,,10.49,,10.49,,0.0,-10.495,-40657,0.0,-40657,514,-40143,1410.0
US_TR_LEGACY,일,전체,1,0.0,0.0,,10.49,,10.49,,0.0,-10.495,-40657,0.0,-40657,514,-40143,

US_TR_LEGACY_TREND,일,08/17~08/21,6,33.3,1.24,4.75,3.65,7.6,5.68,0.0,0.0,-0.845,-2493,0.62,10636,2745,13381,1410.0
US_TR_LEGACY_TREND,일,전체,6,33.3,1.24,4.75,3.65,7.6,5.68,0.0,0.0,-0.845,-2493,0.62,10636,2745,13381,

US_TR_LEGACY_LOW,일,전체,0,,,,,,,,,,,,0,0,0,

저점사다리,분,전체,0,,,,,,,,,,,,0,0,0,

통합ETF,일,07/13~07/17,2,0.0,0.0,,2.61,,3.49,,1.0,-2.607,-8011,0.0,-16021,513,-15508,1415.0
통합ETF,일,07/20~07/24,4,25.0,0.07,1.37,0.74,1.37,1.32,1.0,5.67,-0.217,-13272,0.02,-53089,5913,-47176,1415.0
통합ETF,일,07/27~07/31,2,0.0,0.0,,0.14,,0.16,,5.5,-0.136,-2389,0.0,-4777,2924,-1854,1415.0
통합ETF,일,08/03~08/07,3,100.0,,1.04,,2.2,,14.0,,1.042,16180,,48540,4254,52794,1415.0
통합ETF,일,08/10~08/14,3,0.0,0.0,,0.86,,1.53,,4.67,-0.864,-28997,0.0,-86990,13787,-73203,1411.0
통합ETF,일,전체,14,28.6,0.77,1.12,1.03,2.2,3.49,10.75,4.4,-0.416,-8024,0.31,-112337,27391,-84947,

수동합계,혼합,07/27~07/31,9,55.6,0.69,1.17,4.19,3.38,7.04,,,-1.213,-744,0.86,-6692,2139,-4553,1415.0
수동합계,혼합,08/10~08/14,2,100.0,,8.56,,12.69,,,,8.56,57466,,114933,667,115600,1411.0
수동합계,혼합,전체,11,63.6,1.84,3.28,4.19,12.69,7.04,,,0.564,9840,3.23,108241,2806,111047,

수동매매,일,07/27~07/31,9,55.6,0.69,1.17,4.19,3.38,7.04,3.0,1.75,-1.213,-744,0.86,-6692,2139,-4553,1415.0
수동매매,일,08/10~08/14,2,100.0,,8.56,,12.69,,4.5,,8.56,57466,,114933,667,115600,1411.0
수동매매,일,전체,11,63.6,1.84,3.28,4.19,12.69,7.04,3.43,1.75,0.564,9840,3.23,108241,2806,111047,

미국수동,일,전체,0,,,,,,,,,,,,0,0,0,

기타(8042),분,전체,0,,,,,,,,,,,,0,0,0,

