date,scenario,ticker,name,bucket,rank,target_weight,close,signal_sco,final_score,trend,mtype
2026-05-24,s1,SOXX,SOXX,us,1,0.125594,537.3300170898438,11.5,0.909088,,NASDAQ
2026-05-24,s3,SOXX,SOXX,us,1,0.133,537.3300170898438,11.5,0.909088,,NASDAQ
2026-05-24,s1,0048K0,중로봇,us,2,0.158311,12315.0,13.25,0.852678,,NASDAQ
2026-05-24,s3,0048K0,중로봇,us,2,0.114,12315.0,13.25,0.852678,,NASDAQ
2026-05-24,s1,XLK,XLK,us,3,0.105541,180.38999938964844,12.5,0.848805,,NASDAQ
2026-05-24,s3,XLK,XLK,us,3,0.095,180.38999938964844,12.5,0.848805,,NASDAQ
2026-05-24,s1,XLE,XLE,fixed,4,0.105541,59.4900016784668,11.5,0.669999,,FIXED
2026-05-24,s3,XLE,XLE,fixed,4,0.1,59.4900016784668,11.5,0.669999,,FIXED
2026-05-25,s1,SOXX,SOXX,us,1,0.125594,537.3300170898438,11.5,0.909088,,NASDAQ
2026-05-25,s3,SOXX,SOXX,us,1,0.1435,537.3300170898438,11.5,0.909088,,NASDAQ
2026-05-25,s1,0048K0,중로봇,us,2,0.158311,12315.0,13.25,0.852678,,NASDAQ
2026-05-25,s3,0048K0,중로봇,us,2,0.123,12315.0,13.25,0.852678,,NASDAQ
2026-05-25,s1,XLK,XLK,us,3,0.105541,180.38999938964844,12.5,0.848805,,NASDAQ
2026-05-25,s3,XLK,XLK,us,3,0.1025,180.38999938964844,12.5,0.848805,,NASDAQ
2026-05-25,s1,XLE,XLE,fixed,4,0.105541,59.4900016784668,11.5,0.669999,,FIXED
2026-05-25,s3,XLE,XLE,fixed,4,0.1,59.4900016784668,11.5,0.669999,,FIXED
2026-05-27,s1,SOXX,SOXX,us,1,0.311518,570.0900268554688,13.5,0.950893,,NASDAQ
2026-05-27,s3,SOXX,SOXX,us,1,0.154,570.0900268554688,13.5,0.950893,,NASDAQ
2026-05-27,s1,091160,반도체,kr,2,0.106806,162660.0,12.5,0.93125,,KOSPI
2026-05-27,s3,091160,반도체,kr,2,0.114,162660.0,12.5,0.93125,,KOSPI
2026-05-27,s1,SMH,SMH,us,3,0.222513,602.1400146484375,13.5,0.923256,,NASDAQ
2026-05-27,s3,SMH,SMH,us,3,0.11,602.1400146484375,13.5,0.923256,,NASDAQ
2026-05-27,s1,0048K0,중로봇,us,4,0.089005,12280.0,13.25,0.846737,,NASDAQ
2026-05-27,s3,0048K0,중로봇,us,4,0.044,12280.0,13.25,0.846737,,NASDAQ
2026-05-28,s1,091160,반도체,kr,1,0.167599,163570.0,14.5,0.970536,,KOSPI
2026-05-28,s3,091160,반도체,kr,1,0.1353,163570.0,14.5,0.970536,,KOSPI
2026-05-28,s1,SOXX,SOXX,us,2,0.249321,563.97998046875,14.5,0.970536,,NASDAQ
2026-05-28,s3,SOXX,SOXX,us,2,0.2025,563.97998046875,14.5,0.970536,,NASDAQ
2026-05-28,s1,495050,밸류업,kr,3,0.101575,38620.0,14.0,0.960714,,KOSPI
2026-05-28,s3,495050,밸류업,kr,3,0.082,38620.0,14.0,0.960714,,KOSPI
2026-05-28,s1,SMH,SMH,us,4,0.092341,595.5,14.5,0.951949,,NASDAQ
2026-05-28,s3,SMH,SMH,us,4,0.075,595.5,14.5,0.951949,,NASDAQ
2026-05-28,s1,0048K0,중로봇,us,5,0.092341,11910.0,12.75,0.790269,,NASDAQ
2026-05-28,s3,0048K0,중로봇,us,5,0.075,11910.0,12.75,0.790269,,NASDAQ
2026-05-29,s1,091160,반도체,kr,1,0.191421,160980.0,16.0,1.0,,KOSPI
2026-05-29,s3,091160,반도체,kr,1,0.154,160980.0,16.0,1.0,,KOSPI
2026-05-29,s1,EWY,EWY,kr,2,0.183378,206.00999450683594,16.0,1.0,,KOSPI
2026-05-29,s3,EWY,EWY,kr,2,0.132,206.00999450683594,16.0,1.0,,KOSPI
2026-05-29,s1,SOXX,SOXX,us,3,0.227882,580.0599975585938,16.0,0.997199,,NASDAQ
2026-05-29,s3,SOXX,SOXX,us,3,0.195,580.0599975585938,16.0,0.997199,,NASDAQ
2026-05-29,s1,SMH,SMH,us,4,0.091153,609.9749755859375,16.0,0.955222,,NASDAQ
2026-05-29,s3,SMH,SMH,us,4,0.078,609.9749755859375,16.0,0.955222,,NASDAQ
2026-05-30,s1,091160,반도체,kr,1,0.191256,160980.0,16.0,1.0,,KOSPI
2026-05-30,s3,091160,반도체,kr,1,0.1485,160980.0,16.0,1.0,,KOSPI
2026-05-30,s1,EWY,EWY,kr,2,0.164718,205.8300018310547,16.0,1.0,,KOSPI
2026-05-30,s3,EWY,EWY,kr,2,0.1215,205.8300018310547,16.0,1.0,,KOSPI
2026-05-30,s1,069500,코스피,kr,3,0.122013,134815.0,15.5,0.990179,,KOSPI
2026-05-30,s3,069500,코스피,kr,3,0.09,134815.0,15.5,0.990179,,KOSPI
2026-05-30,s1,SOXX,SOXX,us,4,0.086426,569.0800170898438,15.0,0.976284,,NASDAQ
2026-05-30,s3,SOXX,SOXX,us,4,0.081,569.0800170898438,15.0,0.976284,,NASDAQ
2026-05-30,s1,SMH,SMH,us,5,0.086426,598.9299926757812,15.0,0.929509,,NASDAQ
2026-05-30,s3,SMH,SMH,us,5,0.081,598.9299926757812,15.0,0.929509,,NASDAQ
2026-05-31,s1,091160,반도체,kr,1,0.191256,160980.0,16.0,1.0,,KOSPI
2026-05-31,s3,091160,반도체,kr,1,0.1485,160980.0,16.0,1.0,,KOSPI
2026-05-31,s1,EWY,EWY,kr,2,0.164718,205.8300018310547,16.0,1.0,,KOSPI
2026-05-31,s3,EWY,EWY,kr,2,0.1215,205.8300018310547,16.0,1.0,,KOSPI
2026-05-31,s1,069500,코스피,kr,3,0.122013,134815.0,15.5,0.990179,,KOSPI
2026-05-31,s3,069500,코스피,kr,3,0.09,134815.0,15.5,0.990179,,KOSPI
2026-05-31,s1,SOXX,SOXX,us,4,0.086426,569.0800170898438,15.0,0.976284,,NASDAQ
2026-05-31,s3,SOXX,SOXX,us,4,0.084,569.0800170898438,15.0,0.976284,,NASDAQ
2026-05-31,s1,SMH,SMH,us,5,0.086426,598.9299926757812,15.0,0.929509,,NASDAQ
2026-05-31,s3,SMH,SMH,us,5,0.084,598.9299926757812,15.0,0.929509,,NASDAQ
2026-06-03,s1,091160,반도체,kr,1,0.27118,163875.0,16.0,1.0,,KOSPI
2026-06-03,s3,091160,반도체,kr,1,0.1575,163875.0,16.0,1.0,,KOSPI
2026-06-03,s1,495050,밸류업,kr,2,0.259786,40955.0,16.0,1.0,,KOSPI
2026-06-03,s3,495050,밸류업,kr,2,0.135,40955.0,16.0,1.0,,KOSPI
2026-06-03,s1,SOXX,SOXX,us,3,0.227882,611.2000122070312,16.0,1.0,,NASDAQ
2026-06-03,s3,SOXX,SOXX,us,3,0.21,611.2000122070312,16.0,1.0,,NASDAQ
2026-06-03,s1,SMH,SMH,us,4,0.091153,636.530029296875,16.0,0.991831,,NASDAQ
2026-06-03,s3,SMH,SMH,us,4,0.084,636.530029296875,16.0,0.991831,,NASDAQ
2026-06-04,s1,091160,반도체,kr,1,0.270946,168300.0,16.0,1.0,,KOSPI
2026-06-04,s3,091160,반도체,kr,1,0.2475,168300.0,16.0,1.0,,KOSPI
2026-06-04,s1,495050,밸류업,kr,2,0.23335,40440.0,16.0,1.0,,KOSPI
2026-06-04,s3,495050,밸류업,kr,2,0.2025,40440.0,16.0,1.0,,KOSPI
2026-06-04,s1,EWY,EWY,kr,3,0.172852,212.9600067138672,16.0,1.0,,KOSPI
2026-06-04,s3,EWY,EWY,kr,3,0.15,212.9600067138672,16.0,1.0,,KOSPI
2026-06-04,s1,SOXX,SOXX,us,4,0.086426,615.6799926757812,16.0,1.0,,NASDAQ
2026-06-04,s3,SOXX,SOXX,us,4,0.084,615.6799926757812,16.0,1.0,,NASDAQ
2026-06-04,s1,SMH,SMH,us,5,0.086426,637.9000244140625,16.0,0.996918,,NASDAQ
2026-06-04,s3,SMH,SMH,us,5,0.084,637.9000244140625,16.0,0.996918,,NASDAQ
2026-06-06,s1,SMH,SMH,us,6,0.057597,569.6900024414062,13.5,0.905534,,NASDAQ
2026-06-06,s3,SMH,SMH,us,6,0.0648,569.6900024414062,13.5,0.905534,,NASDAQ
2026-06-06,s1,446770,톱반도,us,1,0.277457,92100.0,15.0,1.0,,NASDAQ
2026-06-06,s3,446770,톱반도,us,1,0.2673,92100.0,15.0,1.0,,NASDAQ
2026-06-06,s1,069500,코스피,kr,2,0.134787,131030.0,14.5,0.989815,,KOSPI
2026-06-06,s3,069500,코스피,kr,2,0.2025,131030.0,14.5,0.989815,,KOSPI
2026-06-06,s1,091160,반도체,kr,3,0.094587,157180.0,14.0,0.979584,,KOSPI
2026-06-06,s3,091160,반도체,kr,3,0.15,157180.0,14.0,0.979584,,KOSPI
2026-06-06,s1,495050,밸류업,kr,4,0.052549,38255.0,13.5,0.969444,,KOSPI
2026-06-06,s3,495050,밸류업,kr,4,0.075,38255.0,13.5,0.969444,,KOSPI
2026-06-06,s1,SOXX,SOXX,us,5,0.071466,539.77001953125,13.5,0.946425,,NASDAQ
2026-06-06,s3,SOXX,SOXX,us,5,0.081,539.77001953125,13.5,0.946425,,NASDAQ
2026-06-07,s1,446770,톱반도,us,1,0.277457,92100.0,15.0,1.0,,NASDAQ
2026-06-07,s3,446770,톱반도,us,1,0.2574,92100.0,15.0,1.0,,NASDAQ
2026-06-07,s1,069500,코스피,kr,2,0.134787,131030.0,14.5,0.989815,,KOSPI
2026-06-07,s3,069500,코스피,kr,2,0.162,131030.0,14.5,0.989815,,KOSPI
2026-06-07,s1,091160,반도체,kr,3,0.094587,157180.0,14.0,0.979584,,KOSPI
2026-06-07,s3,091160,반도체,kr,3,0.12,157180.0,14.0,0.979584,,KOSPI
2026-06-07,s1,495050,밸류업,kr,4,0.052549,38255.0,13.5,0.969444,,KOSPI
2026-06-07,s3,495050,밸류업,kr,4,0.06,38255.0,13.5,0.969444,,KOSPI
2026-06-07,s1,SOXX,SOXX,us,5,0.071466,539.77001953125,13.5,0.946425,,NASDAQ
2026-06-07,s3,SOXX,SOXX,us,5,0.078,539.77001953125,13.5,0.946425,,NASDAQ
2026-06-08,s1,SOXX,SOXX,us,1,0.18,539.77001953125,13.5,0.979245,,NASDAQ
2026-06-08,s3,SOXX,SOXX,us,1,0.1575,539.77001953125,13.5,0.979245,,NASDAQ
2026-06-08,s1,PTF,PTF,us,2,0.12,121.77999877929688,13.5,0.964906,,NASDAQ
