date,Worst,Neutral,Recovery,HotVeryHot,Other,total_universe,avg_sco,avg_3m,QQQ_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct
2026-07-07,46,31,11,1,46,135,1.75,4.43,722.82,22,7,48,58,4.8667,25.8,5,56,46,약세 경계,34.07,22.96,8.15,0.74,34.07
2026-07-17,53,19,0,1,62,135,-0.18,-2.54,705.94,18,10,35,72,3.8741,19.2,2,87,53,약세 확산,39.26,14.07,0.0,0.74,45.93
2026-07-18,51,21,0,1,62,135,-0.3,-1.94,695.33,16,15,33,71,3.963,19.8,1,82,51,약세 확산,37.78,15.56,0.0,0.74,45.93
