티커,산업,Signal_sco,수익률(%),Final_score,sco_bucket,rtn_bucket,표시이름
SNPS,SNPS,5.5,23.1784014634683,0.4722336058421807,0~7,15~30%,SNPS
TDOC,TDOC,3.0,22.803743715442117,0.466858750821304,0~7,15~30%,TDOC
AMAT,AMAT,5.5,15.021825364110075,0.45805837412484035,0~7,15~30%,AMAT
GOOGL,GOOGL,3.0,24.591709004204443,0.45423442880681886,0~7,15~30%,GOOGL
PWR,PWR,1.5,28.031150884029522,0.44965451782515015,0~7,15~30%,PWR
AMZN,AMZN,5.0,28.087730699103087,0.44899462746748176,0~7,15~30%,AMZN
ORCL,ORCL,2.0,27.789238873600652,0.4359900668221142,0~7,15~30%,ORCL
VRT,VRT,1.5,26.320247493392458,0.37878710528647996,0~7,15~30%,VRT
434730,원자력ETF,0.5,16.039688771504036,0.3641267436592052,0~7,15~30%,원자력ETF(434730)
AVGO,AVGO,0.0,28.73484579848762,0.3358166293297702,0~7,15~30%,AVGO
ANET,ANET,1.0,18.257196759536942,0.2929078915894108,0~7,15~30%,ANET
CGNX,CGNX,8.5,19.382217502238785,0.6090047026404724,8~10,15~30%,CGNX
LRCX,LRCX,9.5,27.724096184683745,0.6010196678307078,8~10,15~30%,LRCX
CDNS,CDNS,9.0,25.534270388402835,0.5801169380483916,8~10,15~30%,CDNS
0038A0,미국로봇,9.5,16.82479443390259,0.5662608300199893,8~10,15~30%,0038A0
MBLY,MBLY,9.25,16.342860630580347,0.5661187312152539,8~10,15~30%,MBLY
NVDA,NVDA,8.0,16.46384474113991,0.5084797779095838,8~10,15~30%,NVDA
KLAC,KLAC,8.0,23.884244825159428,0.4888771028507476,8~10,15~30%,KLAC
HACK,HACK,15.25,28.697425239694475,0.748235874568642,11+,15~30%,HACK
OKTA,OKTA,14.0,22.57807025085652,0.7205099213343561,11+,15~30%,OKTA
QQQ,QQQ,11.0,17.776244095747185,0.5921598862149494,11+,15~30%,QQQ
AMKR,AMKR,-2.0,35.51112815267783,0.2453291149545724,<0,30%+,AMKR
010120,LS ELECTRIC,4.0,88.3378016085791,0.7013452641322879,0~7,30%+,LS ELECTRIC(010120)
WDC,WDC,7.5,71.57838752145152,0.6355947526107857,0~7,30%+,WDC
062040,산일전기,4.0,65.49502050380784,0.6332483712032149,0~7,30%+,산일전기(062040)
PSTG,PSTG,7.0,32.161249638794786,0.5939616952008985,0~7,30%+,PSTG
298040,효성중공업,3.5,45.286439448876,0.5752528313328825,0~7,30%+,효성중공업(298040)
403870,HPSP,5.5,33.57753357753357,0.5269314294431571,0~7,30%+,HPSP(403870)
103590,일진전기,2.0,31.751824817518237,0.5015654191318025,0~7,30%+,일진전기(103590)
LITE,LITE,4.75,39.867064167512936,0.48752671960779287,0~7,30%+,LITE
007810,코리아써키트,3.5,66.72185430463576,0.4824478933247949,0~7,30%+,코리아써키트(007810)
487230,전력인프라,2.0,34.49062341611759,0.44664197890970914,0~7,30%+,전력인프라(487230)
203650,드림시큐리티,2.25,114.11338962605551,0.43579862403629777,0~7,30%+,드림시큐리티(203650)
042700,한미반도체,1.0,52.619047619047606,0.4346803620745636,0~7,30%+,한미반도체(042700)
INTC,INTC,10.0,163.6163632894204,0.8619303119202856,8~10,30%+,INTC
000660,SK하이닉스,9.5,93.13432835820896,0.8368839089794322,8~10,30%+,SK하이닉스(000660)
MU,MU,10.0,80.71999336127375,0.8336225519050883,8~10,30%+,MU
STX,STX,8.0,98.38649494225558,0.7632918406461249,8~10,30%+,STX
091160,KODEX반도체,9.5,62.495428183290656,0.7279585613181164,8~10,30%+,KODEX반도체(091160)
389500,에스비비테크,8.0,50.256410256410255,0.7224801867639156,8~10,30%+,에스비비테크(389500)
446770,ACE글로벌반도체TOP4,9.5,40.23290142693128,0.6797168317188842,8~10,30%+,ACE글로벌반도체TOP4(446770)
069500,KOSPI200,9.5,38.46326542066565,0.672983066708423,8~10,30%+,KOSPI200(069500)
SMH,SMH,10.5,39.88009845975895,0.6329042121977156,8~10,30%+,SMH
CIEN,CIEN,8.0,71.10446241304444,0.6081270030956984,8~10,30%+,CIEN
COHR,COHR,9.0,50.9434749522286,0.607808950426828,8~10,30%+,COHR
036930,주성엔지니어링,16.0,323.4404536862003,1.0,11+,30%+,주성엔지니어링(036930)
DDOG,DDOG,16.0,90.89817024896418,0.9644951792433083,11+,30%+,DDOG
353200,대덕전자,13.5,132.76923076923075,0.9500000000000001,11+,30%+,대덕전자(353200)
FTNT,FTNT,16.0,69.10353262173172,0.9412135075345929,11+,30%+,FTNT
CRWD,CRWD,15.25,74.09079279637825,0.9270510033212975,11+,30%+,CRWD
222800,심텍,12.0,146.81647940074907,0.92,11+,30%+,심텍(222800)
PANW,PANW,15.25,74.41766882053233,0.917429703636608,11+,30%+,PANW
ARM,ARM,16.0,137.12673896904363,0.9123613871813476,11+,30%+,ARM
DELL,DELL,12.5,143.05476316084724,0.8711756082642106,11+,30%+,DELL
AMD,AMD,12.0,129.53163127308707,0.8507804053065476,11+,30%+,AMD
HPE,HPE,14.5,80.3263030513368,0.8494078890169525,11+,30%+,HPE
QCOM,QCOM,11.5,63.58267027452824,0.8453159603069209,11+,30%+,QCOM
CSCO,CSCO,15.0,54.174143424609625,0.8401360034357894,11+,30%+,CSCO
MRVL,MRVL,15.0,147.61003854725323,0.8399159077317189,11+,30%+,MRVL
S,S,15.25,38.798217506234955,0.8102612206074521,11+,30%+,S
067310,하나마이크론,14.5,45.2247191011236,0.7935029458590042,11+,30%+,하나마이크론(067310)
BUG,BUG,15.0,33.709605916834406,0.7916656507996119,11+,30%+,BUG
CIBR,CIBR,15.0,31.955534975315558,0.769239058350648,11+,30%+,CIBR
005930,삼성전자,11.5,46.24999999999999,0.7579011190049851,11+,30%+,삼성전자(005930)
SOXX,SOXX,11.5,50.596983036228835,0.6767314648923443,11+,30%+,SOXX
