source,uid,버킷,_bkey,시간,제목,분류,영향,핵심한줄,관련섹터,언론사,링크
main,aeb5bd73ea9712581e98e0c72c661a5b,08:30~09:00,08:30,2026-06-06 08:32:14,피지컬 AI 테마 부상…삼전·현차 담은 채권혼합형 상품 등장[ETF언박싱],AI/반도체,혼재,피지컬 인공지능(AI) 관련 기업에 투자하면서 채권을 함께 편입하는 상장지수펀드(ETF)가 상장됐다.,"AI_메모리, AI_GPU, 반도체장비",이데일리,https://n.news.naver.com/mnews/article/018/0006299055
main,92db45b918671373de152c42007ec314,08:00~08:30,08:00,2026-06-06 08:12:15,삼성전자 30조 판 외국인…'리밸런싱' 자금 어디로?,AI/반도체,긍정,코스피가 단기 급등 이후 조정 국면에 들어선 가운데 외국인 투자자들이 대형 반도체주를 중심으로 대규모 차익…,"AI_메모리, AI_GPU, 반도체장비",이코노미스트,https://n.news.naver.com/mnews/article/243/0000098767
main,d3a98b7faec5c8b7ad347b59e2ab6547,08:00~08:30,08:00,2026-06-06 08:02:17,"폭락장 부른 '이 종목'…증권가선 ""매수 기회""",AI인프라/전력,혼재,인공지능(AI) 반도체 시장의 핵심 수혜주로 꼽히는 브로드컴(티커명 AVGO) 주가가 실적 발표 이후…,"전력기기, 원전, 데이터센터",이데일리,https://n.news.naver.com/mnews/article/018/0006299048
main,9a85db87d4183d4cb81cefe78d6b1ab9,08:00~08:30,08:00,2026-06-06 08:01:10,비트코인 32개 팔았을 뿐인데…시장 뒤흔든 스트래티지,코인/디지털,부정,세계 최대 가상 자산 재무전략 미국 기업인 스트래티지(Strategy)의 비트코인 매도가 가상자산 시장…,"가상자산, 증권",데일리안,https://n.news.naver.com/mnews/article/119/0003098318
main,fb0d2eb4aede63bff4c82e4406ef7c56,08:00~08:30,08:00,2026-06-06 08:00:05,스페이스X 상장 임박…'우주테크' ETF 자금유입 '쑥'[머니플로우],우주항공,긍정,"미래에셋證, 전문투자자 대상 공모주 청약 시작…개미, ETF·펀드 통한 간접 투자 가능 투자자예탁금…","우주항공, 방산",연합뉴스,https://n.news.naver.com/mnews/article/001/0016122796
main,31c8304279d279bb2deb835e8f1213a5,08:00~08:30,08:00,2026-06-06 08:00:00,"지분 사들이는 금융권…코인시장, '쩐의 전쟁' 시작[가상자산 대전환①]",코인/디지털,혼재,그간 가상자산을 투기성 자산으로 분류하며 보수적인 태도를 유지해 온 전통 금융권이 가상자산 업계와의 전략적…,"가상자산, 증권",뉴시스,https://n.news.naver.com/mnews/article/003/0013990251
main,27116634f03d9601aec47065f5bc6d24,07:00~07:30,07:00,2026-06-06 07:25:06,“여기까지 올라오니 1만피가 저기 보이네”…6월 쉬어가도 천장 열려있다,AI/반도체,긍정,증권사 연간 목표지수 잇단 상향 올해 AI·반도체 이익 탄탄 코스피 12개월 선행 PER 7배 선진국…,"AI_메모리, AI_GPU, 반도체장비",매일경제,https://n.news.naver.com/mnews/article/009/0005690053
main,d95c88173f0b63ba4fac0626cca83afb,07:00~07:30,07:00,2026-06-06 07:18:57,브로드컴發 후폭풍 서학개미 '비명'…마이크론 13%↓,매크로/금리,긍정,미국의 고용시장 호조가 연방준비제도(Fed·연준)의 금리 인상 결정으로 이어질 것이란 예상이 확산하면서…,"은행, 환율민감주, 수출주",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254478
main,ea2560ee61cbb958e3a96d5b24270fef,07:00~07:30,07:00,2026-06-06 07:14:05,'깜짝 고용'에 번진 금리인상 기대…주식·국채·금 '트리플 약세',매크로/금리,혼재,미국 고용시장이 예상을 크게 웃도는 호조를 보이며 연방준비제도(Fed·연준)의 연내 금리 인상 가능성이…,"은행, 환율민감주, 수출주",한국경제TV,https://n.news.naver.com/mnews/article/215/0001254477
main,f299c1c683f4f252f373bd4b5ec6b009,07:00~07:30,07:00,2026-06-06 07:01:18,‘젠슨황 깐부株’ 효과 벌써 끝…두산로보틱스 16% 급락[코주부],로봇,부정,젠슨 황 엔비디아 최고경영자(CEO)의 방한 수혜주로 주목받았던 두산로보틱스가 이틀 연속 급락하며 최근…,"로봇, AI_인프라",서울경제,https://n.news.naver.com/mnews/article/011/0004628228
