2022.10월2주,2022.10월3주,2022.10월4주,2022.10월5주,2022.10월6주
"TUR
SLV
XLE",TUR,"TUR
XLE
QMOM","XLE
QMOM
TUR","QMOM
XLE
EWW"
2022.9월1주,2022.9월2주,2022.9월3주,2022.9월4주,
TUR,"TUR
EIDO","EIDO
TUR
XLU",EIDO,
2022.8월1주,2022.8월2주,2022.8월3주,2022.8월4주,2022.8월5주
"TAN
ICLN
XLU","ICLN
LIT
TAN","LIT
XLU
UNG","TUR
QMOM
UNG","TUR
QMOM
XLE"
2022.7월4주,2022.7월5주,,,
"UNG
ICLN","UNG
XLV
TAN",,,
2022.6월1주,2022.6월2주,2022.6월3주,2022.6월5주,
"XLE
PDBC
EWW","XLE
PDBC
GMOM",PDBC,FXI,
2022.5월2주,2022.5월3주,2022.5월4주,2022.5월5주,2022.5월6주
"EIDO
UNG
KSA","UNG
PDBC","UNG
XLE","UNG
XLE
PDBC","XLE
PDBC
EWP"
2022.4월1주,2022.4월2주,2022.4월3주,2022.4월4주,2022.4월5주
"EWZ
EWW
XLU","XLU
UNG
KSA","UNG
KSA
DBA","XLE
TUR
UNG","EIDO
XLP
JETS"
2022.3월1주,2022.3월2주,2022.3월3주,2022.3월4주,2022.3월5주
"PDBC
PICK
EIDO","XLE
GLD
SLV","EIDO
XLU
XLE","EWC
EZA
EWZ","EWZ
EWW
KSA"
2022.2월1주,2022.2월2주,2022.2월3주,2022.2월4주,2022.2월5주
"XLE
PDBC
DBA","DBA
XLE
PDBC","EZA
PDBC
GLD","GLD
PDBC
DBA","PDBC
EIDO
GLD"
2022.1월2주,2022.1월3주,2022.1월4주,2022.1월5주,2022.1월6주
"VYM
VNM
XLP","VYM
VTV
SCHD","KSA
XLE
PDBC","PDBC
GLD
DBA","PDBC
XLE
KSA"
