date,ticker,rank,close,sco,trend,위치,is_fixed,raw_mult,floor_mult,base_w,internal_w,alloc_pct,alloc_amount,atr_excluded,vol63,atr_stage_val,us_mult,nasdaq_trend
2022-01-03,VNM,1,19.954519271850582,16.0,LIME,1,False,0.85,0.6,0.45,0.45,0.3825,38250.0,False,13.0911,0,0.85,LIME
2022-01-03,XLP,2,68.92493438720703,16.0,LIME,1,False,0.85,0.6,0.3,0.3,0.255,25500.0,False,11.5966,0,0.85,LIME
2022-01-03,VYM,3,99.53386688232422,16.0,LIME,1,False,0.85,0.6,0.25,0.25,0.2125,21250.0,False,12.1354,0,0.85,LIME
2022-01-04,XLP,1,69.3897933959961,16.0,LIME,1,False,0.6,0.6,0.45,0.45,0.27,27000.0,False,11.6195,0,0.6,LIME
2022-01-04,VNM,2,20.19844055175781,16.0,LIME,1,False,0.6,0.6,0.3,0.3,0.18,18000.0,False,13.1427,0,0.6,LIME
2022-01-04,VYM,3,100.75328063964844,16.0,LIME,1,False,0.6,0.6,0.25,0.25,0.15,15000.0,False,12.2788,0,0.6,LIME
2022-01-05,XLP,1,69.32722473144531,16.0,LIME,1,False,0.24,0.24,0.45,0.45,0.108,10800.0,False,11.5263,0,0.1,PURPLE
2022-01-05,VNM,2,20.160913467407227,16.0,LIME,1,False,0.24,0.24,0.3,0.3,0.072,7200.0,False,13.0981,0,0.1,PURPLE
2022-01-05,VYM,3,100.37332153320312,16.0,LIME,1,False,0.24,0.24,0.25,0.25,0.06,6000.0,False,12.3234,0,0.1,PURPLE
2022-01-06,VNM,1,20.067094802856445,16.0,LIME,1,False,0.24,0.24,0.35,0.35,0.084,8400.0,False,12.9454,0,0.1,PURPLE
2022-01-06,VYM,2,100.75328063964844,16.0,LIME,1,False,0.24,0.24,0.3,0.3,0.072,7200.0,False,12.2781,0,0.1,PURPLE
2022-01-06,VTV,3,134.24171447753906,16.0,LIME,1,False,0.24,0.24,0.25,0.25,0.06,6000.0,False,12.6506,0,0.1,PURPLE
2022-01-06,XLP,4,69.13948822021484,15.0,LIME,2,False,0.22,0.22,0.1,0.1,0.022,2200.0,False,11.5484,0,0.1,PURPLE
2022-01-07,VYM,1,101.22162628173828,16.0,LIME,1,False,0.24,0.24,0.33,0.33,0.0792,7920.0,False,12.2924,0,0.1,PURPLE
2022-01-07,VTV,2,134.85543823242188,16.0,LIME,1,False,0.24,0.24,0.27,0.27,0.0648,6480.0,False,12.6683,0,0.1,PURPLE
2022-01-07,SCHD,3,23.31730461120605,15.75,LIME,1,False,0.24,0.24,0.2,0.2,0.048,4800.0,False,11.4881,0,0.1,PURPLE
2022-01-07,XLP,4,69.21102142333984,14.75,LIME,1,False,0.22,0.22,0.1,0.1,0.022,2200.0,False,11.535,0,0.1,PURPLE
2022-01-07,VNM,5,20.076478958129883,14.75,LIME,2,False,0.2,0.2,0.1,0.1,0.02,2000.0,False,12.906,0,0.1,PURPLE
2022-01-10,VYM,1,101.12442779541016,16.0,LIME,1,False,0.24,0.24,0.33,0.331658,0.079598,7959.8,False,12.1839,0,0.1,PURPLE
2022-01-10,VTV,2,134.73809814453125,16.0,LIME,1,False,0.24,0.24,0.27,0.271357,0.065126,6512.56,False,12.549,0,0.1,PURPLE
2022-01-10,SCHD,3,23.31730461120605,15.5,LIME,1,False,0.24,0.24,0.2,0.201005,0.048241,4824.12,False,11.4234,0,0.1,PURPLE
2022-01-10,XLP,4,68.66568756103516,12.5,LIME,3,False,0.2,0.2,0.1,0.100503,0.020101,2010.05,False,11.6877,0,0.1,PURPLE
2022-01-10,VNM,5,19.88884925842285,12.5,LIME,3,False,0.2,0.2,0.1,0.095477,0.019095,1909.55,False,13.0865,1,0.1,PURPLE
2022-01-11,VYM,1,101.61927795410156,16.0,LIME,1,False,0.24,0.24,0.45,0.45,0.108,10800.0,False,12.1542,0,0.1,PURPLE
2022-01-11,VTV,2,135.65866088867188,16.0,LIME,1,False,0.24,0.24,0.3,0.3,0.072,7200.0,False,12.564,0,0.1,PURPLE
2022-01-11,SCHD,3,23.400121688842773,15.5,LIME,1,False,0.24,0.24,0.25,0.25,0.06,6000.0,False,11.3603,0,0.1,PURPLE
2022-01-12,VYM,1,101.62810516357422,16.0,LIME,1,False,0.24,0.24,0.45,0.45,0.108,10800.0,False,12.1578,0,0.1,PURPLE
2022-01-12,VTV,2,135.6767120361328,16.0,LIME,1,False,0.24,0.24,0.3,0.3,0.072,7200.0,False,12.5668,0,0.1,PURPLE
2022-01-12,SCHD,3,23.38869857788086,15.5,LIME,1,False,0.24,0.24,0.25,0.25,0.06,6000.0,False,11.3652,0,0.1,PURPLE
2022-01-13,VYM,1,101.4867172241211,16.0,LIME,1,False,0.24,0.24,0.35,0.363636,0.087273,8727.27,False,11.8422,0,0.1,PURPLE
2022-01-13,VTV,2,135.39697265625,16.0,LIME,1,False,0.24,0.24,0.3,0.311688,0.074805,7480.52,False,12.2406,0,0.1,PURPLE
2022-01-13,XLE,3,27.13007354736328,15.5,LIME,1,True,1.0,,0.25,0.220779,0.220779,22077.92,False,26.4616,0,0.1,PURPLE
