date,ticker,industry,rank,close,sco,trend,위치,raw_mult,floor_mult,base_w,internal_w,alloc_pct,alloc_amount,atr_excluded,vol63,atr_stage_val,k_mult,kospi_trend,last_trend
2022-01-03,091160,반도체,1,38778.0,15.0,LIME,1,0.6,0.6,0.45,0.43734,0.262404,26240409,False,26.1505,0,0.2,-,
2022-01-03,229200,코스닥,2,14817.0,14.0,LIME,2,0.5,0.5,0.3,0.306905,0.153453,15345268,False,22.4332,0,0.2,-,
2022-01-03,195930,유로스,3,14626.0,12.25,LIME,1,0.4,0.4,0.25,0.255754,0.102302,10230179,False,16.5758,0,0.2,-,
2022-01-04,091160,반도체,1,38481.0,15.0,LIME,1,0.6,0.6,0.45,0.443005,0.265803,26580310,False,25.9252,0,0.2,-,-
2022-01-04,195930,유로스,2,14826.0,12.5,LIME,1,0.4,0.4,0.3,0.310881,0.124352,12435233,False,16.7601,0,0.2,-,-
2022-01-04,229200,코스닥,3,14575.0,11.5,LIME,4,0.25,0.25,0.25,0.246114,0.061528,6152849,False,22.237,1,0.2,-,-
2022-01-05,091160,반도체,1,37396.0,13.25,-,3,0.0,0.0,0.45,0.397838,0.0,0,False,26.0856,1,0.0,RED,-
2022-01-05,195930,유로스,2,14771.0,12.5,LIME,1,0.0,0.0,0.3,0.328452,0.0,0,False,16.6872,0,0.0,RED,-
2022-01-05,091170,은행주,3,6085.0,12.5,LIME,1,0.0,0.0,0.25,0.27371,0.0,0,False,18.1172,0,0.0,RED,-
2022-01-06,195930,유로스,1,14631.0,12.0,LIME,2,0.0,0.0,0.45,0.45,0.0,0,False,16.8111,0,0.0,RED,RED
2022-01-06,091170,은행주,2,6067.0,12.0,LIME,2,0.0,0.0,0.3,0.3,0.0,0,False,17.9093,0,0.0,RED,RED
2022-01-06,325020,케모멘,3,11530.0,11.5,LIME,2,0.0,0.0,0.25,0.25,0.0,0,False,14.6426,0,0.0,RED,RED
2022-01-07,091170,은행주,1,6072.0,12.5,LIME,2,0.0,0.0,0.45,0.45,0.0,0,False,17.5318,0,0.0,RED,RED
2022-01-07,325020,케모멘,2,11662.0,12.25,LIME,1,0.0,0.0,0.3,0.3,0.0,0,False,14.7303,0,0.0,RED,RED
2022-01-07,195930,유로스,3,14721.0,12.0,LIME,1,0.0,0.0,0.25,0.25,0.0,0,False,16.7712,0,0.0,RED,RED
2022-01-10,091170,은행주,1,6223.0,12.5,LIME,1,0.0,0.0,0.45,0.45,0.0,0,False,18.0978,0,0.0,RED,RED
2022-01-10,325020,케모멘,2,11667.0,12.25,LIME,1,0.0,0.0,0.3,0.3,0.0,0,False,14.5722,0,0.0,RED,RED
2022-01-10,195930,유로스,3,14676.0,11.5,LIME,2,0.0,0.0,0.25,0.25,0.0,0,False,16.5518,0,0.0,RED,RED
2022-01-11,091170,은행주,1,6341.0,12.75,LIME,1,0.0,0.0,0.55,0.537275,0.0,0,False,18.4415,0,0.0,RED,RED
2022-01-11,325020,케모멘,2,11690.0,12.25,LIME,1,0.0,0.0,0.45,0.462725,0.0,0,False,14.5346,0,0.0,RED,RED
2022-01-12,091170,은행주,1,6398.0,14.5,LIME,1,0.0,0.0,0.45,0.43734,0.0,0,False,18.5034,0,0.0,RED,RED
2022-01-12,325020,케모멘,2,11836.0,14.0,LIME,1,0.0,0.0,0.3,0.306905,0.0,0,False,14.671,0,0.0,RED,RED
2022-01-12,147970,티모멘,3,23068.0,11.0,LIME,1,0.0,0.0,0.25,0.255754,0.0,0,False,16.0584,0,0.0,RED,RED
2022-01-13,091170,은행주,1,6407.0,15.75,LIME,1,0.0,0.0,0.45,0.43734,0.0,0,False,18.2812,0,0.0,RED,RED
2022-01-13,325020,케모멘,2,11836.0,14.0,LIME,1,0.0,0.0,0.3,0.306905,0.0,0,False,14.5548,0,0.0,RED,RED
2022-01-13,147970,티모멘,3,23176.0,11.5,LIME,1,0.0,0.0,0.25,0.255754,0.0,0,False,15.9501,0,0.0,RED,RED
2022-01-14,091170,은행주,1,6362.0,16.0,LIME,1,0.0,0.0,0.45,0.43734,0.0,0,False,18.3009,0,0.0,RED,RED
2022-01-14,325020,케모멘,2,11709.0,13.25,LIME,2,0.0,0.0,0.3,0.306905,0.0,0,False,14.7297,0,0.0,RED,RED
2022-01-14,147970,티모멘,3,22933.0,11.25,LIME,2,0.0,0.0,0.25,0.255754,0.0,0,False,16.0821,0,0.0,RED,RED
2022-01-17,091170,은행주,1,6248.0,15.0,LIME,2,0.0,0.0,0.55,0.537275,0.0,0,False,18.6798,1,0.0,RED,RED
2022-01-17,325020,케모멘,2,11586.0,11.5,-,3,0.0,0.0,0.45,0.462725,0.0,0,False,14.8862,1,0.0,RED,RED
2022-01-18,091170,은행주,1,6256.0,13.25,LIME,2,0.0,0.0,1.0,1.0,0.0,0,False,18.5345,1,0.0,RED,RED
2022-01-19,091170,은행주,1,6304.0,11.5,LIME,2,0.0,0.0,1.0,1.0,0.0,0,False,18.5172,0,0.0,RED,RED
2022-02-09,091170,은행주,1,6483.0,11.5,LIME,1,0.2,0.2,1.0,1.0,0.2,20000000,False,20.552,0,0.2,-,RED
2022-02-10,091170,은행주,1,6495.0,12.0,LIME,1,0.4,0.4,1.0,1.0,0.4,40000000,False,20.545,0,0.3,-,-
2022-02-11,091170,은행주,1,6569.0,14.0,LIME,1,0.55,0.55,1.0,1.0,0.55,55000000,False,20.638,0,0.2,-,-
2022-02-14,091170,은행주,1,6483.0,15.0,LIME,1,0.6,0.6,1.0,1.0,0.6,60000000,False,20.819,0,0.2,-,-
2022-02-15,091170,은행주,1,6457.0,14.5,LIME,2,0.5,0.5,1.0,1.0,0.5,50000000,False,20.6004,0,0.2,-,-
2022-02-16,091170,은행주,1,6537.0,14.75,LIME,1,0.55,0.55,1.0,1.0,0.55,55000000,False,20.7207,0,0.2,-,-
2022-02-17,091170,은행주,1,6662.0,14.75,LIME,1,0.55,0.55,1.0,1.0,0.55,55000000,False,20.992,0,0.3,-,-
2022-02-18,091170,은행주,1,6621.0,14.75,LIME,1,0.55,0.55,1.0,1.0,0.55,55000000,False,20.7692,0,0.2,-,-
2022-02-21,091170,은행주,1,6577.0,15.75,LIME,1,0.6,0.6,1.0,1.0,0.6,60000000,False,20.8145,0,0.3,-,-
2022-02-22,091170,은행주,1,6502.0,14.25,LIME,3,0.5,0.5,1.0,1.0,0.5,50000000,False,20.9671,0,0.2,-,-
2022-02-23,091170,은행주,1,6483.0,12.0,LIME,3,0.0,0.0,1.0,1.0,0.0,0,False,20.9809,0,0.0,RED,-
2022-03-07,117680,철강주,1,8206.0,11.5,GREEN,1,0.0,0.0,0.55,0.55,0.0,0,False,25.4052,0,0.0,RED,-
2022-03-07,139230,조선주,2,3153.0,11.0,GREEN,1,0.0,0.0,0.45,0.45,0.0,0,False,29.8974,0,0.0,RED,-
2022-03-21,147970,티모멘,1,22657.0,11.0,GREEN,1,0.35,0.35,1.0,1.0,0.35,35000000,False,17.8322,0,0.2,-,-
2022-03-22,147970,티모멘,1,22995.0,11.0,GREEN,1,0.35,0.35,1.0,1.0,0.35,35000000,False,18.0231,0,0.2,-,-
2022-03-23,147970,티모멘,1,23169.0,11.25,GREEN,1,0.35,0.35,1.0,1.0,0.35,35000000,False,18.0748,0,0.3,-,-
2022-03-24,147970,티모멘,1,23313.0,11.5,GREEN,1,0.6,0.35,1.0,1.0,0.6,60000000,False,17.9422,0,0.6,GREEN,-
2022-03-25,147970,티모멘,1,23327.0,11.75,GREEN,1,0.5,0.35,0.45,0.45,0.225,22500000,False,17.8077,0,0.5,GREEN,GREEN
2022-03-25,117700,건설주,2,3348.0,12.0,GREEN,1,0.5,0.4,0.3,0.3,0.15,15000000,False,28.7419,0,0.5,GREEN,GREEN
2022-03-25,117680,철강주,3,8318.0,11.0,GREEN,1,0.5,0.35,0.25,0.25,0.125,12500000,False,27.506,0,0.5,GREEN,GREEN
2022-03-28,117680,철강주,1,8336.0,11.75,GREEN,2,0.5,0.3,0.45,0.45,0.225,22500000,False,27.4999,0,0.5,GREEN,GREEN
2022-03-28,147970,티모멘,2,23432.0,12.0,LIME,1,0.5,0.4,0.3,0.3,0.15,15000000,False,17.7986,0,0.5,GREEN,GREEN
2022-03-28,117700,건설주,3,3377.0,12.0,GREEN,1,0.5,0.4,0.25,0.25,0.125,12500000,False,28.7866,0,0.5,GREEN,GREEN
2022-03-29,117680,철강주,1,8327.0,11.5,GREEN,2,0.6,0.3,0.35,0.340153,0.204092,20409207,False,27.4921,0,0.6,GREEN,GREEN
2022-03-29,147970,티모멘,2,23241.0,11.25,LIME,2,0.6,0.3,0.3,0.306905,0.184143,18414322,False,17.8922,0,0.6,GREEN,GREEN
2022-03-29,091170,은행주,3,6515.0,11.0,LIME,1,0.6,0.35,0.25,0.255754,0.153453,15345268,False,21.9463,0,0.6,GREEN,GREEN
2022-03-29,117700,건설주,4,3328.0,11.25,GREEN,2,0.6,0.3,0.1,0.097187,0.058312,5831202,False,28.8846,0,0.6,GREEN,GREEN
2022-03-30,091170,은행주,1,6495.0,11.0,LIME,2,0.6,0.3,0.55,0.537275,0.322365,32236503,False,21.9622,0,0.6,GREEN,GREEN
2022-03-30,147970,티모멘,2,23231.0,11.0,LIME,2,0.6,0.3,0.45,0.462725,0.277635,27763496,False,17.8838,0,0.6,GREEN,GREEN
2022-03-31,091170,은행주,1,6552.0,12.5,LIME,1,0.6,0.4,0.45,0.43734,0.262404,26240409,False,22.0138,0,0.6,GREEN,GREEN
2022-03-31,147970,티모멘,2,23444.0,11.5,LIME,1,0.6,0.35,0.3,0.306905,0.184143,18414322,False,17.9377,0,0.6,GREEN,GREEN
2022-03-31,325020,케모멘,3,11400.0,12.0,GREEN,1,0.6,0.4,0.25,0.255754,0.153453,15345268,False,17.0737,0,0.6,GREEN,GREEN
